n,T,0.05,0.05_True(1)_False(0)?,0.01,0.01_True(1)_False(0)?,F,F_OK_NO?
8,2.355110560686224,2.306,1,3.355,0,0.5058273252505397,1
5,0.7173980953669428,2.571,0,4.032,0,1.1753027041082695,1
5,-3.571106767723485,2.571,1,4.032,0,2.735818608192001,1
7,4.741541698937784,2.365,1,3.499,1,0.8195964263009833,1
4,3.518197225101879,2.776,1,4.604,0,1.9043532209967176,1
4,0.3756944435797094,2.776,0,4.604,0,4.43287074926465,1
7,3.679914230314015,2.365,1,3.499,1,1.4505823143432106,1
4,2.235665250058954,2.776,0,4.604,0,3.3704650410785373,1
4,-0.383715378486642,2.776,0,4.604,0,7.845622191977734,1
