n,T,0.05,0.05_True(1)_False(0)?,0.01,0.01_True(1)_False(0)?,F,F_OK_NO?
10,1.3919137460821347,2.228,0,3.169,0,1.572784438117327,1
10,2.5266441383594818,2.228,1,3.169,0,2.578866489648034,1
10,2.3745678490905666,2.228,1,3.169,0,1.019346272306333,1
10,2.561687221284924,2.228,1,3.169,0,1.2816320594263182,1
10,3.904290535424925,2.228,1,3.169,1,2.1014691460639767,1
10,3.4678809109106856,2.228,1,3.169,1,0.8306458473154404,1
10,2.0309730885675155,2.228,0,3.169,0,1.4906889862230914,1
10,3.246646315556782,2.228,1,3.169,1,2.44425604672174,1
10,2.964921843078824,2.228,1,3.169,0,0.9661389218051638,1
