n,T,0.05,0.05_True(1)_False(0)?,0.01,0.01_True(1)_False(0)?,F,F_OK_NO?
6,-1.2399248043620863,2.447,0,3.07,0,0.6413696305291215,1
4,-0.6682485029663584,2.776,0,4.604,0,3.333840813593388,1
6,0.8711667947397492,2.447,0,3.07,0,1.1968738418357894,1
6,-0.0619525119588558,2.447,0,3.07,0,1.587999307630815,1
4,0.5814153845402927,2.776,0,4.604,0,8.254424050870727,1
6,1.8628360358113525,2.447,0,3.07,0,2.963400107655032,1
6,-1.1228908240958844,2.447,0,3.07,0,0.1450332316833585,1
4,-0.5845354560589797,2.776,0,4.604,0,0.7538830716297409,1
6,1.3696418803977697,2.447,0,3.07,0,0.2706496736609041,1
