n,T,0.05,0.05_True(1)_False(0)?,0.01,0.01_True(1)_False(0)?,F,F_OK_NO?
4,4.35650761180338,2.776,1,4.604,0,0.8370297884638703,1
4,4.610090656540235,2.776,1,4.604,1,0.8608977379234748,1
4,4.698744066174137,2.776,1,4.604,1,0.34598253889516,1
4,5.3376320023193,2.776,1,4.604,1,0.7575116429270491,1
4,5.605576284405637,2.776,1,4.604,1,0.7791121281877061,1
4,5.414451460235577,2.776,1,4.604,1,0.3131140672347254,1
4,5.391658649000299,2.776,1,4.604,1,0.3775630151804605,1
4,5.701836617008899,2.776,1,4.604,1,0.3883292448754411,1
4,5.323254947340126,2.776,1,4.604,1,0.1560639924473681,1
