"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.310800000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.211777900E-2,4.428625107E-3,-7.037162781E-3,5.528450012E-3,9.984895587E-3
1.692475800E-2,8.859992027E-3,-1.406478882E-2,1.106691360E-2,1.996983525E-2
2.173173700E-2,1.329398155E-2,-2.108192444E-2,1.661634445E-2,2.995463881E-2
2.692178900E-2,-4.011496305E-1,3.349199295E-1,4.653134346E-1,6.997206426E-1
3.211184100E-2,-3.261827230E-1,2.663908005E-1,3.979692459E-1,5.794296748E-1
3.710444500E-2,-1.914451122E-1,2.977910042E-1,5.709381104E-1,6.717894306E-1
4.204741400E-2,-3.770925999E-1,1.366701126E-1,2.188749313E-1,4.569286423E-1
4.699116400E-2,-1.501064301E-1,1.531190872E-1,-7.773971558E-2,2.280808159E-1
5.193413300E-2,-2.309024334E-2,1.655941010E-1,-2.572498322E-1,3.068094551E-1
5.687626800E-2,1.160969734E-1,2.418098450E-1,-6.275639534E-1,6.824859148E-1
6.181923700E-2,2.358776331E-1,3.160166740E-1,-8.009991646E-1,8.928070664E-1
6.676298700E-2,1.646718979E-1,3.603487015E-1,-8.627524376E-1,9.493733666E-1
7.170595600E-2,8.397221565E-2,4.593896866E-1,-8.139977455E-1,9.384468801E-1
7.664809100E-2,4.261076450E-2,5.677342415E-1,-8.060960770E-1,9.868782759E-1
8.159100800E-2,-7.675659657E-2,5.866851807E-1,-9.974493980E-1,1.159739789E0
8.653475800E-2,6.195350885E-1,3.591217995E-1,-1.395411968E0,1.568428116E0
9.147772700E-2,3.182725906E-1,6.150484085E-2,-1.072243690E0,1.120172674E0
9.641986200E-2,1.757624149E-1,-2.200031281E-2,-8.636002541E-1,8.815791735E-1
1.013628310E-1,-7.049882412E-2,-1.483335495E-1,-6.413679123E-1,6.620617230E-1
1.063065810E-1,3.041088581E-2,-1.861472130E-1,-5.323972702E-1,5.648207328E-1
1.112495500E-1,4.206895828E-3,-2.926468849E-1,-3.913440704E-1,4.886819811E-1
1.161916850E-1,1.731512547E-1,-2.982892990E-1,-2.734322548E-1,4.401398197E-1
1.211346540E-1,1.203736067E-1,-3.953051567E-1,-2.044100761E-1,4.610200119E-1
1.260784040E-1,3.296512961E-1,-2.705273628E-1,-1.537590027E-1,4.533176171E-1
1.310213200E-1,3.414534330E-1,-3.627710342E-1,-7.179975510E-2,5.033373372E-1
1.359635080E-1,6.199370623E-1,-4.179844856E-1,-5.122613907E-2,7.494378618E-1
