"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.251157000E-3,3.533916473E-1,2.962040901E-1,-2.480869293E-1,5.236121121E-1
1.205813700E-2,2.993302345E-1,2.469143867E-1,-2.033400536E-1,4.380781678E-1
1.686511600E-2,2.583446503E-1,2.089276314E-1,-1.683263779E-1,3.724600421E-1
2.167209500E-2,2.260785103E-1,1.784763336E-1,-1.398010254E-1,3.201712373E-1
2.647907400E-2,1.999187469E-1,1.533002853E-1,-1.158161163E-1,2.772757755E-1
3.128605300E-2,2.108483315E-1,1.537261009E-1,1.355719566E-1,2.940552472E-1
3.609303200E-2,2.248301506E-1,1.049051285E-1,2.179560661E-1,3.302401087E-1
4.128329300E-2,1.815667152E-1,6.215858459E-2,2.566194534E-1,3.204429834E-1
4.647355300E-2,2.024955750E-1,9.173059464E-2,3.296556473E-1,3.976076026E-1
5.166381400E-2,2.163567543E-1,8.849477768E-2,3.235788345E-1,3.991802011E-1
5.668199100E-2,1.922893524E-1,8.835506439E-2,2.942938805E-1,3.624785518E-1
6.162511600E-2,2.087531090E-1,1.517658234E-1,2.677507401E-1,3.718886721E-1
6.656902200E-2,1.911163330E-1,1.805086136E-1,2.933931351E-1,3.939395182E-1
7.151214700E-2,1.931514740E-1,1.538496017E-1,2.528524399E-1,3.534282787E-1
7.645449100E-2,2.229228020E-1,1.425876617E-1,2.514615059E-1,3.650461695E-1
8.139756400E-2,2.039618492E-1,1.025643349E-1,2.325596809E-1,3.258893737E-1
8.634152200E-2,2.320408821E-1,1.217145920E-1,2.402153015E-1,3.554726487E-1
9.128464700E-2,1.884007454E-1,1.402759552E-1,1.793632507E-1,2.955391009E-1
9.622693900E-2,2.295265198E-1,1.634879112E-1,1.394467354E-1,3.144139189E-1
1.011700640E-1,2.186799049E-1,1.995105743E-1,1.223087311E-2,2.962683992E-1
1.061139700E-1,3.050699234E-1,2.136125565E-1,2.151250839E-2,3.730425853E-1
1.110570950E-1,3.124537468E-1,1.517248154E-1,4.301071167E-4,3.473441355E-1
1.159993870E-1,3.892803192E-1,1.568918228E-1,4.937362671E-2,4.226014269E-1
1.209425120E-1,5.611248016E-1,1.342296600E-1,1.475996971E-1,5.955369974E-1
1.258864180E-1,6.838164330E-1,1.513023376E-1,1.716337204E-1,7.210793613E-1
1.308295430E-1,8.426070213E-1,1.738858223E-1,2.842750549E-1,9.061099152E-1
