"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.020280940E-1,2.371596098E-1,3.013658524E-1,2.481167316E-1,4.567581089E-1
1.069723130E-1,2.328102589E-1,3.265428543E-1,1.254839897E-1,4.202107614E-1
1.119156990E-1,2.473216057E-1,3.601875305E-1,3.669977188E-2,4.384631194E-1
1.168583030E-1,2.962270975E-1,3.561658859E-1,-2.953433990E-2,4.641949039E-1
1.218016880E-1,3.301343918E-1,3.620166779E-1,-1.276836395E-1,5.063081112E-1
1.267458550E-1,3.682914972E-1,3.613290787E-1,-1.858673096E-1,5.484013009E-1
1.316892920E-1,3.436435461E-1,3.590593338E-1,-2.199726105E-1,5.435093756E-1
1.366318440E-1,3.369191885E-1,3.344640732E-1,-2.449793816E-1,5.342243473E-1
1.415752300E-1,3.265359402E-1,3.206653595E-1,-2.614183426E-1,5.270593352E-1
1.465194490E-1,2.986514568E-1,2.895116806E-1,-2.512388229E-1,4.859327649E-1
1.514628340E-1,2.721524239E-1,2.461032867E-1,-2.105684280E-1,4.230518082E-1
1.564054380E-1,2.259577513E-1,2.348136902E-1,-1.610715389E-1,3.635084801E-1
1.613488240E-1,2.023229599E-1,2.080764771E-1,-1.094846725E-1,3.101891261E-1
1.662930420E-1,1.888415813E-1,1.499614716E-1,-3.701329231E-2,2.439663288E-1
1.712364280E-1,1.805667877E-1,1.519050598E-1,2.133321762E-2,2.369274535E-1
1.761790320E-1,1.819694042E-1,1.306447983E-1,6.639075279E-2,2.336421611E-1
1.811224170E-1,1.741631031E-1,9.836959839E-2,9.869790077E-2,2.230485149E-1
1.860665840E-1,1.643385887E-1,7.856655121E-2,1.422088146E-1,2.310913708E-1
1.910100220E-1,1.619043350E-1,3.824615479E-2,1.312184334E-1,2.118821826E-1
1.959525740E-1,1.596529484E-1,8.159637451E-3,1.746757030E-1,2.367852294E-1
2.008959590E-1,1.528840065E-1,-4.006290436E-2,1.826901436E-1,2.415662317E-1
2.058401780E-1,1.464030743E-1,-8.734130859E-2,2.168450356E-1,2.758335255E-1
2.107835630E-1,1.026006937E-1,-1.127033234E-1,2.345974445E-1,2.797586503E-1
2.157261670E-1,1.160826683E-1,-1.448249817E-1,3.464851379E-1,3.930666763E-1
2.206695530E-1,1.271110773E-1,-1.766595840E-1,4.407789707E-1,4.915810570E-1
2.256137720E-1,1.147140265E-1,-2.152452469E-1,4.943852425E-1,5.512772371E-1
2.305571570E-1,9.553980827E-2,-2.581119537E-1,4.590468407E-1,5.352323211E-1
2.354997610E-1,4.614520073E-2,-2.487983704E-1,4.534540176E-1,5.192788796E-1
2.404431470E-1,2.214550972E-3,-2.328128815E-1,3.640990257E-1,4.321745510E-1
2.453873650E-1,-5.037510395E-2,-2.031431198E-1,2.860856056E-1,3.544710876E-1
2.503307510E-1,-6.680035591E-2,-1.693086624E-1,1.764738560E-1,2.535167303E-1
2.552733550E-1,-1.040953398E-1,-1.336307526E-1,1.294496059E-1,2.131905680E-1
2.602167400E-1,-1.383625269E-1,-9.611034393E-2,5.448532104E-2,1.770594173E-1
2.651609070E-1,-1.603981256E-1,-8.717918396E-2,1.043868065E-2,1.828571434E-1
2.701043440E-1,-1.774259806E-1,-9.224414825E-2,-7.905244827E-3,2.001285946E-1
2.750468970E-1,-1.849622726E-1,-9.926986694E-2,-2.692604065E-2,2.116378049E-1
2.799903340E-1,-1.878774166E-1,-9.412288666E-2,4.880428314E-4,2.101363359E-1
2.849345010E-1,-1.415175200E-1,-8.645725250E-2,3.365516663E-2,1.692180109E-1
2.898778860E-1,-1.360307932E-1,-7.169628143E-2,8.453559875E-2,1.754736474E-1
2.948204900E-1,-1.141892672E-1,-8.534431458E-2,1.389603615E-1,1.990799408E-1
2.997639280E-1,-8.106982708E-2,-1.222629547E-1,1.640665531E-1,2.200872118E-1
3.047080940E-1,-4.148745537E-2,-1.373510361E-1,1.909871101E-1,2.388777769E-1
3.096514800E-1,-4.022741318E-2,-1.428251266E-1,2.128658295E-1,2.594785597E-1
3.145940840E-1,-2.952754498E-2,-1.529903412E-1,2.722640038E-1,3.136966818E-1
3.195374690E-1,-3.068673611E-2,-2.056713104E-1,2.748296261E-1,3.446355859E-1
3.244816880E-1,-3.440952301E-2,-2.412872314E-1,2.710676193E-1,3.645287335E-1
3.294250740E-1,-9.965038300E-2,-2.718620300E-1,2.774808407E-1,4.010421164E-1
3.343676780E-1,-1.290022135E-1,-2.974748611E-1,2.656781673E-1,4.191870140E-1
3.393110630E-1,-1.488981247E-1,-2.875404358E-1,2.854983807E-1,4.316937330E-1
3.442552820E-1,-1.830823421E-1,-3.204174042E-1,2.821066380E-1,4.645111539E-1
3.491986670E-1,-1.699924469E-1,-3.152446747E-1,2.794034481E-1,4.542498473E-1
3.541412720E-1,-1.785188913E-1,-2.795753479E-1,2.700181007E-1,4.277161961E-1
3.590846570E-1,-1.848956347E-1,-2.114372253E-1,1.997621059E-1,3.446693995E-1
3.640288760E-1,-1.913425922E-1,-1.560554504E-1,1.588838100E-1,2.936142985E-1
3.689722610E-1,-1.694401503E-1,-1.013193130E-1,1.158871651E-1,2.289222635E-1
3.739148650E-1,-1.690738201E-1,-8.030033112E-2,9.678030014E-2,2.107143240E-1
3.788582510E-1,-1.806181669E-1,-5.706024170E-2,1.011459827E-1,2.147307692E-1
3.838024690E-1,-2.040042877E-1,-7.412719727E-2,1.120474339E-1,2.442687418E-1
3.887458550E-1,-1.941734552E-1,-5.303478241E-2,1.059236526E-1,2.274551364E-1
3.936884590E-1,-1.681369543E-1,-3.440189362E-2,8.524179459E-2,1.916238222E-1
3.986318440E-1,-1.520437002E-1,-3.712272644E-2,5.490326881E-2,1.658606419E-1
4.035760630E-1,-1.339378357E-1,-5.855178833E-2,4.568171501E-2,1.531485385E-1
4.085194490E-1,-8.774256706E-2,-3.696632385E-2,-4.219293594E-3,9.530513949E-2
4.134620530E-1,-7.532167435E-2,-3.673076630E-2,-3.049206734E-2,8.917550106E-2
4.184054380E-1,-6.549572945E-2,-3.397560120E-2,-2.619719505E-2,7.829639252E-2
4.233496570E-1,-3.693282604E-2,-2.637577057E-2,-1.766395569E-2,4.870041317E-2
4.282930420E-1,-2.058756351E-2,-4.003047943E-2,-3.095769882E-2,5.463209836E-2
4.332356470E-1,-4.429221153E-3,-2.975177765E-2,-2.317333221E-2,3.797090464E-2
4.381790320E-1,-1.217460632E-2,-3.841590881E-2,7.455348969E-4,4.030581734E-2
4.431232510E-1,-3.637433052E-2,-3.982925415E-2,3.603529930E-2,6.486913135E-2
4.480666360E-1,-1.272559166E-2,-4.838371277E-2,1.538741589E-1,1.618029082E-1
4.530092400E-1,3.716468811E-3,-8.067798615E-2,2.661294937E-1,2.781144675E-1
4.579526260E-1,-1.285314560E-3,-1.293954849E-1,3.683080673E-1,3.903788878E-1
4.628968440E-1,-3.903031349E-3,-1.565475464E-1,4.323935509E-1,4.598766691E-1
4.678402300E-1,-1.841437817E-2,-1.695289612E-1,4.921691418E-1,5.208739023E-1
4.727828340E-1,-6.768584251E-3,-1.803293228E-1,5.168511868E-1,5.474482876E-1
4.777262190E-1,-3.798663616E-2,-1.581583023E-1,4.878368378E-1,5.142390625E-1
4.826704380E-1,-3.345096111E-2,-1.649141312E-1,4.220991135E-1,4.544043343E-1
4.876138240E-1,-3.377437592E-2,-1.480903625E-1,3.458030224E-1,3.776919303E-1
4.925564280E-1,-1.288759708E-2,-1.268053055E-1,2.540838718E-1,2.842609533E-1
4.974998130E-1,-2.532148361E-2,-1.271085739E-1,1.396522522E-1,1.905269499E-1
5.024440320E-1,-2.803003788E-2,-8.942031860E-2,4.740905762E-2,1.050204511E-1
5.073874170E-1,-7.097029686E-2,-6.147861481E-2,-1.823377609E-2,9.564974493E-2
5.123300220E-1,-8.986485004E-2,-2.651977539E-2,-9.800553322E-2,1.355878841E-1
5.172734070E-1,-8.255517483E-2,-2.014732361E-2,-1.183845997E-1,1.457264045E-1
5.222176260E-1,-9.431457520E-2,6.017684937E-4,-1.297514439E-1,1.604089723E-1
5.271610110E-1,-6.087839603E-2,7.081985474E-3,-1.130790710E-1,1.286204102E-1
5.321036150E-1,-7.274353504E-2,-1.010322571E-2,-7.563233376E-2,1.054227061E-1
5.370470530E-1,-9.637689590E-2,-1.995182037E-2,-5.059981346E-2,1.106658137E-1
5.419912190E-1,-8.181631565E-2,-3.443431854E-2,-1.639866829E-2,9.026930886E-2
5.469346570E-1,-9.355020523E-2,-5.111408234E-2,5.502939224E-3,1.067453636E-1
5.518772090E-1,-1.384459734E-1,-7.001495361E-2,-1.076340675E-2,1.555160191E-1
5.568206470E-1,-1.521779299E-1,-7.686519623E-2,-4.829096794E-2,1.771959320E-1
5.617648130E-1,-1.730564833E-1,-8.128070831E-2,-7.833766937E-2,2.066201597E-1
5.667082510E-1,-1.986987591E-1,-5.954742432E-2,-9.145569801E-2,2.266963548E-1
5.716508550E-1,-2.337825298E-1,-7.355308533E-2,-1.117041111E-1,2.693364737E-1
5.765942400E-1,-2.473559380E-1,-5.651187897E-2,-1.177213192E-1,2.797085295E-1
5.815384590E-1,-2.705703378E-1,-7.279872894E-2,-1.190178394E-1,3.044227467E-1
5.864818440E-1,-2.772858739E-1,-8.414459229E-2,-9.663939476E-2,3.054618485E-1
5.914244490E-1,-2.605561614E-1,-7.633876801E-2,-7.685971260E-2,2.821781993E-1
5.963678340E-1,-2.466758490E-1,-7.562732697E-2,-4.315328598E-2,2.615925709E-1
6.013120530E-1,-2.118475437E-1,-3.687477112E-2,-5.014896393E-2,2.208031909E-1
6.062554380E-1,-1.751366854E-1,4.032135010E-3,-3.358817101E-2,1.783739945E-1
6.111980420E-1,-1.173735857E-1,4.706859589E-2,-5.071473122E-2,1.362497534E-1
6.161414280E-1,-6.949126720E-2,8.034801483E-2,-3.957414627E-2,1.133620428E-1
6.210856470E-1,-3.611826897E-2,8.730697632E-2,-6.444239616E-2,1.143672151E-1
6.260290320E-1,-1.706397533E-2,1.037883759E-1,-5.860424042E-2,1.204062424E-1
6.309716360E-1,-2.852678299E-4,1.107425690E-1,-5.091142654E-2,1.218850742E-1
6.359150220E-1,-1.260042191E-4,1.034307480E-1,-4.820632935E-2,1.141130391E-1
6.408592400E-1,-2.059340477E-3,1.033458710E-1,-4.342389107E-2,1.121171006E-1
6.458026260E-1,-2.057468891E-2,9.853935242E-2,-4.352092743E-2,1.096694712E-1
6.507452300E-1,-5.799424648E-2,7.721996307E-2,-2.955484390E-2,1.009937826E-1
6.556886670E-1,-7.147884369E-2,7.511234283E-2,-6.285667419E-3,1.038778069E-1
