hiromu_m,kouhai_n,T,F
6,6,1.3919137460821347,1.572784438117327
6,6,2.5266441383594818,2.578866489648034
6,6,2.3745678490905666,1.019346272306333
6,6,2.5616872212849238,1.2816320594263182
6,6,3.9042905354249253,2.1014691460639767
6,6,3.4678809109106856,0.8306458473154404
6,6,2.0309730885675155,1.4906889862230914
6,6,3.2466463155567826,2.44425604672174
6,6,2.9649218430788236,0.9661389218051638
