m,n,times,F
2,2,13,-0.5699336162715589
2,2,14,-0.4508402066471999
2,2,15,-0.481316420126811
2,2,16,-0.6697050703712326
2,3,17,-0.6655503329145198
2,3,18,-0.9028994497380882
2,2,19,-0.0678493981045855
2,3,20,-0.008236034723047455
6,行,目
2,3,1,1.0017456343334856
2,2,2,1.0489576545965071
2,3,3,0.37667067373957397
2,2,4,-0.08342505647179979
2,2,5,0.6927033356541854
2,2,6,0.0
2,2,7,0.17191423643274548
2,3,8,0.410582939677192
2,2,9,0.027084262775004603
2,2,10,0.3485182498967011
2,2,11,0.5947287736327371
2,3,12,-0.5243150017122465
2,2,13,0.04928034589318571
2,2,14,0.1536281151295366
2,2,15,0.034955990107991386
2,2,16,-0.11729284135952825
2,3,17,-0.14024946838583874
2,3,18,-0.29720737151023874
2,2,19,0.24428903401848437
2,3,20,0.7483863952671801
7,行,目
2,3,1,0.7279157643204957
2,2,2,0.5619749343690966
2,3,3,0.1323653228271224
2,2,4,-0.2164720498189064
2,2,5,0.4314433391227439
2,2,6,-0.17191423643274548
2,2,7,0.0
2,3,8,0.25148763850513756
2,2,9,-0.11448558997815665
2,2,10,0.18961093735705206
2,2,11,0.4011078027497751
2,3,12,-0.6581316034682709
2,2,13,-0.1129714003744606
2,2,14,-0.016626920784337845
2,2,15,-0.10137116662014387
2,2,16,-0.2474402886533311
2,3,17,-0.2720317331578659
2,3,18,-0.4355913142022938
2,2,19,0.15320331284116687
2,3,20,0.4863723386773349
8,行,目
3,3,1,0.3708792846289178
3,2,2,0.126362535370094
3,3,3,-0.20606683740765597
3,2,4,-0.44721478760639655
3,2,5,0.11650527285691721
3,2,6,-0.410582939677192
3,2,7,-0.25148763850513756
3,3,8,0.0
3,2,9,-0.35017889979074934
3,2,10,-0.0456787658817325
3,2,11,0.14588709533672148
3,3,12,-0.9090432951459101
3,2,13,-0.35587293495060524
3,2,14,-0.2669012648307147
3,2,15,-0.3346128376987156
3,2,16,-0.4762181138514363
3,3,17,-0.5455949612139364
3,3,18,-0.713662548611072
3,2,19,0.001821805783442853
3,3,20,0.1327367911045655
9,行,目
2,3,1,0.8194757625808299
2,2,2,0.6324071413260188
2,3,3,0.2738142272747058
2,2,4,-0.09216470432838715
2,2,5,0.5139752507435714
2,2,6,-0.027084262775004603
2,2,7,0.11448558997815665
2,3,8,0.35017889979074934
2,2,9,0.0
2,2,10,0.27789894406981736
2,2,11,0.4790845612794916
2,3,12,-0.46541333198594964
2,2,13,0.014214697981831673
2,2,14,0.09948876070177973
2,2,15,0.007841120963444604
2,2,16,-0.12008477367860479
2,3,17,-0.15043313335804218
2,3,18,-0.286925599914106
2,2,19,0.21551038121258503
2,3,20,0.5957308311909928
10,行,目
2,3,1,0.40723954656588773
2,2,2,0.188260627213484
2,3,3,-0.13858015389429723
2,2,4,-0.36872526984111387
2,2,5,0.1603747035110018
2,2,6,-0.3485182498967011
2,2,7,-0.18961093735705206
2,3,8,0.0456787658817325
2,2,9,-0.27789894406981736
2,2,10,0.0
2,2,11,0.17601289162814948
2,3,12,-0.8127684481292984
2,2,13,-0.2894167166376792
2,2,14,-0.20418053257901533
2,2,15,-0.26169392851199824
2,2,16,-0.39605811621486753
2,3,17,-0.44018153240976793
