m,n,times,F
2,2,10,-0.013461406876935849
2,2,11,0.0
2,2,12,1.7117591540520156
2,2,13,1.3627202260951248
2,2,14,6.774894574927
2,2,15,1.0831403455292326
2,2,16,2.436012890938311
2,2,17,1.670322407404503
2,2,18,2.38657772301737
2,2,19,0.19549432047592025
2,2,20,0.4018457520711971
12,行,目
2,2,1,-1.2067948470034344
2,2,2,-1.0099725248049831
2,2,3,-0.818157471179436
2,2,4,-0.3324010795709635
2,2,5,-0.972648659318506
2,2,6,-1.5223127899693396
2,2,7,-0.851570060618429
2,2,8,-1.2081714731717017
2,2,9,-0.4279542272846055
2,2,10,-1.2324757596968958
2,2,11,-1.7117591540520156
2,2,12,0.0
2,2,13,-0.5540288818273396
2,2,14,1.9842397601839192
2,2,15,-0.5695055410152287
2,2,16,-0.22906765299457071
2,2,17,0.07533491532279316
2,2,18,0.7402722379250352
2,2,19,-0.26654167287673036
2,2,20,-0.6868510890854932
13,行,目
2,2,1,-0.7029833658313153
2,2,2,-0.4274218339267657
2,2,3,-0.22508796561378616
2,2,4,0.46793463482994707
2,2,5,-0.4653433151778657
2,2,6,-1.155875346243473
2,2,7,-0.37566756740100676
2,2,8,-0.7893456471548679
2,2,9,0.18572152878401982
2,2,10,-0.8839772449129049
2,2,11,-1.3627202260951248
2,2,12,0.5540288818273396
2,2,13,0.0
2,2,14,3.5707745271135254
2,2,15,-0.07545887661678384
2,2,16,0.5205277143228297
2,2,17,0.6011359163574812
2,2,18,1.3187873466226419
2,2,19,-0.10759245483563235
2,2,20,-0.3422691298249399
14,行,目
2,2,1,-11.969777047522763
2,2,2,-32.17601506184058
2,2,3,-6.959288184869178
2,2,4,-13.685438815131674
2,2,5,-5.067647950355982
2,2,6,-4.652363809935358
2,2,7,-3.6594365927879893
2,2,8,-4.223453867829508
2,2,9,-3.858770083204689
2,2,10,-3.12185362670677
2,2,11,-6.774894574927
2,2,12,-1.9842397601839192
2,2,13,-3.5707745271135254
2,2,14,0.0
2,2,15,-2.936238992715727
2,2,16,-5.311237204504715
2,2,17,-1.6886545910709418
2,2,18,-0.72572966455041
2,2,19,-0.7487252940057177
2,2,20,-2.0537862363006485
15,行,目
2,2,1,-0.4757382212578035
2,2,2,-0.24276291885546175
2,2,3,-0.09797774086580704
2,2,4,0.46886528044823494
2,2,5,-0.3193698076184638
2,2,6,-0.9603939308162736
2,2,7,-0.2632008837008591
2,2,8,-0.631484652269536
2,2,9,0.24007905767995186
2,2,10,-0.7670029917997553
2,2,11,-1.0831403455292326
2,2,12,0.5695055410152287
2,2,13,0.07545887661678384
2,2,14,2.936238992715727
2,2,15,0.0
2,2,16,0.5202508413502025
2,2,17,0.6148613601875071
2,2,18,1.2794924813172843
2,2,19,-0.08557072917868364
2,2,20,-0.2766901981771948
16,行,目
2,2,1,-2.061614058103668
2,2,2,-1.8509721408097564
2,2,3,-1.1015413904107667
2,2,4,-0.20210751425534268
2,2,5,-1.210776979663253
2,2,6,-1.8506836888316731
2,2,7,-0.9228882535336889
2,2,8,-1.4217218376412215
2,2,9,-0.34206609124605264
2,2,10,-1.3057900662480448
2,2,11,-2.436012890938311
2,2,12,0.22906765299457071
2,2,13,-0.5205277143228297
2,2,14,5.311237204504715
2,2,15,-0.5202508413502025
2,2,16,0.0
2,2,17,0.30439874821440066
2,2,18,1.1178736910039115
2,2,19,-0.21394333968895843
2,2,20,-0.6345248254533781
17,行,目
2,2,1,-1.1927378539426035
2,2,2,-1.01166798240669
2,2,3,-0.8425515647877242
2,2,4,-0.4007273702533486
2,2,5,-0.9887105086750145
2,2,6,-1.5101064844643406
2,2,7,-0.8800482355310566
2,2,8,-1.2146614589281994
2,2,9,-0.48450295722350206
2,2,10,-1.2481349361836185
2,2,11,-1.670322407404503
2,2,12,-0.07533491532279316
2,2,13,-0.6011359163574812
2,2,14,1.6886545910709418
2,2,15,-0.6148613601875071
2,2,16,-0.30439874821440066
2,2,17,0.0
2,2,18,0.6368918967301082
2,2,19,-0.2908283352089821
2,2,20,-0.7233894540037369
18,行,目
2,2,1,-1.990207439293333
2,2,2,-1.8356852595888788
2,2,3,-1.6326708056005776
2,2,4,-1.2508083044379394
2,2,5,-1.7258229004202184
2,2,6,-2.1677023250526655
2,2,7,-1.5616060737719046
2,2,8,-1.8856442090444085
2,2,9,-1.2344519575861528
2,2,10,-1.812122621894328
2,2,11,-2.38657772301737
2,2,12,-0.7402722379250352
2,2,13,-1.3187873466226419
2,2,14,0.72572966455041
2,2,15,-1.2794924813172843
2,2,16,-1.1178736910039115
2,2,17,-0.6368918967301082
2,2,18,0.0
2,2,19,-0.5256166503053712
2,2,20,-1.2289371118231402
19,行,目
2,2,1,-0.02271528157671967
2,2,2,0.033279778671758076
2,2,3,0.06351510833759492
2,2,4,0.1938689216116727
2,2,5,0.0023016763728357335
2,2,6,-0.19891341043782443
2,2,7,0.008265804252955726
2,2,8,-0.10012813738890375
2,2,9,0.15107262740628943
2,2,10,-0.19312327246389666
2,2,11,-0.19549432047592025
2,2,12,0.26654167287673036
2,2,13,0.10759245483563235
2,2,14,0.7487252940057177
2,2,15,0.08557072917868364
2,2,16,0.21394333968895843
2,2,17,0.2908283352089821
2,2,18,0.5256166503053712
2,2,19,0.0
2,2,20,-0.03231123379496745
20,行,目
2,2,1,0.030645773778354438
2,2,2,0.17816135253138898
2,2,3,0.25049454356720396
2,2,4,0.5977372592644871
2,2,5,0.09049778115868824
2,2,6,-0.39005023938893246
2,2,7,0.09985163910653713
