m,n,times,F
2,2,6,0.5312515351263798
2,2,7,-5.448811549492652
2,2,8,2.613614477893258
2,2,9,0.0
2,2,10,0.48682579673541543
2,2,11,-0.16200229573089284
2,2,12,0.08609005596458089
2,2,13,-0.10084701217253754
2,2,14,-4.297846038949433
2,2,15,2.9980767441507985
2,2,16,0.13859788291120181
2,2,17,7.46283620865992e-05
2,2,18,-2.906379441348784
2,2,19,1.5081872926258342
2,2,20,1.3324030315697155
10,行,目
2,2,1,0.1497197707752818
2,2,2,0.15998847472150043
2,2,3,0.013600947180555134
2,2,4,-0.6190915524842737
2,2,5,-0.15564023047214842
2,2,6,-0.40832704365219624
2,2,7,-1.100221022105829
2,2,8,-0.26650644055276046
2,2,9,-0.48682579673541543
2,2,10,0.0
2,2,11,-0.5158037546455406
2,2,12,-0.2502722072667186
2,2,13,-0.4915170053826759
2,2,14,-0.8517828056229984
2,2,15,-0.18354167846862265
2,2,16,-0.3867377957701254
2,2,17,-0.4195448730488868
2,2,18,-1.1831655242592491
2,2,19,0.3853178886251997
2,2,20,0.7804110674834086
11,行,目
2,2,1,0.5465194721647374
2,2,2,1.0475402834807643
2,2,3,0.5428784204183931
2,2,4,-0.26993626766334694
2,2,5,0.8638336747699931
2,2,6,0.3955214118107012
2,2,7,-1.84433275565259
2,2,8,0.911364110855493
2,2,9,0.16200229573089284
2,2,10,0.5158037546455406
2,2,11,0.0
2,2,12,0.12451307494018114
2,2,13,0.016921626249387513
2,2,14,-1.0561309245658688
2,2,15,1.1689160214153447
2,2,16,0.2094051132025221
2,2,17,0.07465339587035585
2,2,18,-1.786660562844203
2,2,19,1.4439750355809404
2,2,20,1.3395311505748517
12,行,目
2,2,1,0.34953755478552573
2,2,2,0.43127484410071093
2,2,3,0.2645550165172631
2,2,4,-0.2459152030350052
2,2,5,0.1831629211338268
2,2,6,-0.02081851646705554
2,2,7,-0.6074259514858477
2,2,8,0.10188411962005468
2,2,9,-0.08609005596458089
2,2,10,0.2502722072667186
2,2,11,-0.12451307494018114
2,2,12,0.0
2,2,13,-0.11477200842550328
2,2,14,-0.3950864006703998
2,2,15,0.17189701044917086
2,2,16,-0.03002514054623524
2,2,17,-0.0769681315445407
2,2,18,-0.6902968887500803
2,2,19,0.6311661098446515
2,2,20,0.9478119905588498
13,行,目
2,2,1,0.5317773225863563
2,2,2,0.9649058217831596
2,2,3,0.5170598413433062
2,2,4,-0.2601201687987482
2,2,5,0.7168347968861024
2,2,6,0.28216243232613736
2,2,7,-1.4052594822073738
2,2,8,0.6540485159796067
2,2,9,0.10084701217253754
2,2,10,0.4915170053826759
2,2,11,-0.016921626249387513
2,2,12,0.11477200842550328
2,2,13,0.0
2,2,14,-0.8031639870655196
2,2,15,0.8517227527867461
2,2,16,0.1734446086991025
2,2,17,0.05742410958933784
2,2,18,-1.4740594177829138
2,2,19,1.3323295060774345
2,2,20,1.3085659942561259
14,行,目
2,2,1,0.7772522203882865
2,2,2,1.6568410007161565
2,2,3,0.8864476775498501
2,2,4,0.26536732181548167
2,2,5,2.161868092003776
2,2,6,3.500171236136212
2,2,7,-2.8801791366389877
2,2,8,12.884816201669597
2,2,9,4.297846038949433
2,2,10,0.8517828056229984
2,2,11,1.0561309245658688
2,2,12,0.3950864006703998
2,2,13,0.8031639870655196
2,2,14,0.0
2,2,15,9.285210343822678
2,2,16,0.9414280549922419
2,2,17,0.6103961705730094
2,2,18,-1.516628792159747
2,2,19,2.1049733150914083
2,2,20,1.6044284026549605
15,行,目
2,2,1,0.3106520917783563
2,2,2,0.5909506699558572
2,2,3,0.20618714903088922
2,2,4,-0.9448588295267084
2,2,5,0.06380894387064819
2,2,6,-1.6497007803885946
2,2,7,-8.863227668299045
2,2,8,-1.1466107170596223
2,2,9,-2.9980767441507985
2,2,10,0.18354167846862265
2,2,11,-1.1689160214153447
2,2,12,-0.17189701044917086
2,2,13,-0.8517227527867461
2,2,14,-9.285210343822678
2,2,15,0.0
2,2,16,-0.5258341247000428
2,2,17,-0.5082144509268038
2,2,18,-4.188816629102637
2,2,19,1.0232167713603029
2,2,20,1.1073536774641457
16,行,目
2,2,1,0.4566572237674059
2,2,2,0.7925588072744477
2,2,3,0.41009209215767395
2,2,4,-0.3956897594993017
2,2,5,0.4725027643468656
2,2,6,0.028217272486305272
2,2,7,-1.4755398642202306
2,2,8,0.34768521070076797
2,2,9,-0.13859788291120181
2,2,10,0.3867377957701254
2,2,11,-0.2094051132025221
2,2,12,0.03002514054623524
2,2,13,-0.1734446086991025
2,2,14,-0.9414280549922419
2,2,15,0.5258341247000428
2,2,16,0.0
2,2,17,-0.0851238490232519
2,2,18,-1.5468465467824346
2,2,19,1.14388632110063
2,2,20,1.2201188723596539
17,行,目
2,2,1,0.4833320074504161
2,2,2,0.7828014466261446
2,2,3,0.4416610528626231
2,2,4,-0.269161193967991
2,2,5,0.48180173070031174
2,2,6,0.1265854762040553
2,2,7,-1.0244081744975466
2,2,8,0.371699988505154
2,2,9,-7.46283620865992e-05
2,2,10,0.4195448730488868
2,2,11,-0.07465339587035585
2,2,12,0.0769681315445407
2,2,13,-0.05742410958933784
2,2,14,-0.6103961705730094
2,2,15,0.5082144509268038
2,2,16,0.0851238490232519
2,2,17,0.0
2,2,18,-1.1353298571369057
2,2,19,1.0959085734055567
2,2,20,1.22065033020505
18,行,目
2,2,1,1.017561946174463
2,2,2,2.0936236402340676
2,2,3,1.2220918823603406
2,2,4,0.8521693576569049
2,2,5,2.656390977640394
2,2,6,3.0117168347062115
2,2,7,0.44684177078035586
2,2,8,3.9559217810833096
2,2,9,2.906379441348784
2,2,10,1.1831655242592491
2,2,11,1.786660562844203
2,2,12,0.6902968887500803
2,2,13,1.4740594177829138
2,2,14,1.516628792159747
2,2,15,4.188816629102637
2,2,16,1.5468465467824346
2,2,17,1.1353298571369057
2,2,18,0.0
2,2,19,2.5162520226104634
2,2,20,1.8465626412827394
19,行,目
2,2,1,-0.12279503840165226
2,2,2,-0.2998171654218754
2,2,3,-0.3738600348648383
2,2,4,-1.4009054223255435
2,2,5,-0.8860523700323665
2,2,6,-1.36969453811248
2,2,7,-2.4926655945705973
2,2,8,-1.1607330098400397
2,2,9,-1.5081872926258342
2,2,10,-0.3853178886251997
2,2,11,-1.4439750355809404
2,2,12,-0.6311661098446515
2,2,13,-1.3323295060774345
2,2,14,-2.1049733150914083
2,2,15,-1.0232167713603029
2,2,16,-1.14388632110063
2,2,17,-1.0959085734055567
2,2,18,-2.5162520226104634
2,2,19,0.0
2,2,20,0.5773524833754843
20,行,目
2,2,1,-0.5327251090307153
2,2,2,-0.7539437871498501
2,2,3,-0.7738648693817763
2,2,4,-1.3857520182811556
2,2,5,-1.0641917431853172
2,2,6,-1.2723047505990148
2,2,7,-1.7884794755956992
2,2,8,-1.1697135321329395
2,2,9,-1.3324030315697155
2,2,10,-0.7804110674834086
2,2,11,-1.3395311505748517
2,2,12,-0.9478119905588498
2,2,13,-1.3085659942561259
2,2,14,-1.6044284026549605
2,2,15,-1.1073536774641457
2,2,16,-1.2201188723596539
2,2,17,-1.22065033020505
2,2,18,-1.8465626412827394
2,2,19,-0.5773524833754843
2,2,20,0.0
