m,n,times,F
2,2,6,0.4817269789762346
2,2,7,0.8460326135992989
2,2,8,0.9889167758937171
2,2,9,0.0
2,2,10,0.7512246536263982
2,2,11,0.7518164442565745
2,2,12,-1.103811043302218
2,2,13,-0.18594988926680078
2,2,14,-0.8323869980781288
2,2,15,0.27598408093193494
2,2,16,-0.21087268804751655
2,2,17,-0.3540659108245128
2,2,18,-0.7112830541040626
2,2,19,0.6662194752791999
2,3,20,-0.5468526960295546
10,行,目
2,2,1,-0.8831237138188146
2,2,2,-1.6410056865540912
2,2,3,-0.6413226868278317
2,2,4,-0.9745641767375929
2,2,5,-0.43690413583845683
2,2,6,-0.25052492195016335
2,2,7,0.022534347787827133
2,2,8,0.15393014700414143
2,2,9,-0.7512246536263982
2,2,10,0.0
2,2,11,-0.0019328256746415293
2,2,12,-1.8982867949041595
2,2,13,-0.89812156380656
2,2,14,-1.7170302504494372
2,2,15,-0.41628814341217085
2,2,16,-1.12544291172239
2,2,17,-1.1875745158475128
2,2,18,-1.3976752440483777
2,2,19,0.2919690548325477
2,3,20,-1.4285108170152503
11,行,目
2,2,1,-0.8848756371855148
2,2,2,-1.64846900655951
2,2,3,-0.6417854805199151
2,2,4,-0.9761979816420417
2,2,5,-0.4364465631418193
2,2,6,-0.2493848002784125
2,2,7,0.024714062219683804
2,2,8,0.15660816675177006
2,2,9,-0.7518164442565745
2,2,10,0.0019328256746415293
2,2,11,0.0
2,2,12,-1.9050244122143933
2,2,13,-0.8990645194761088
2,2,14,-1.724303832421311
2,2,15,-0.415638343158997
2,2,16,-1.128998892432252
2,2,17,-1.1906898610567285
2,2,18,-1.4002432396925926
2,2,19,0.29319813450156035
2,3,20,-1.4300916404320765
12,行,目
2,2,1,1.39205525652114
2,2,2,0.8925176607622705
2,2,3,1.536444538963976
2,2,4,0.9600384131045337
2,2,5,1.6445093407256894
2,2,6,1.5699915636580317
2,2,7,2.187216275841496
2,2,8,2.3698738165274635
2,2,9,1.103811043302218
2,2,10,1.8982867949041595
2,2,11,1.9050244122143933
2,2,12,0.0
2,2,13,0.817515580369209
2,2,14,0.5845380653795944
2,2,15,1.2649589354126347
2,2,16,1.378069574856264
2,2,17,0.9402635511386138
2,2,18,0.20157904751318462
2,2,19,1.132970031779624
2,3,20,0.6324096353597456
13,行,目
2,2,1,0.19589677569464756
2,2,2,-0.407837777581511
2,2,3,0.3885390923840243
2,2,4,0.009330800944204175
2,2,5,0.5481914290400517
2,2,6,0.638200134567278
2,2,7,0.9982794063744199
2,2,8,1.134857270644732
2,2,9,0.18594988926680078
2,2,10,0.89812156380656
2,2,11,0.8990645194761088
2,2,12,-0.817515580369209
2,2,13,0.0
2,2,14,-0.530515697292634
2,2,15,0.43405360481992034
2,2,16,0.036313085303072874
2,2,17,-0.11985184481288763
2,2,18,-0.5037559948728314
2,2,19,0.7491983597361799
2,3,20,-0.30394152603238467
14,行,目
2,2,1,1.1319746243688236
2,2,2,0.40654592825735664
2,2,3,1.3053464782339936
2,2,4,0.6518187482190577
2,2,5,1.431237209107857
2,2,6,1.358988404894672
2,2,7,2.043373736498031
2,2,8,2.250202323933237
2,2,9,0.8323869980781288
2,2,10,1.7170302504494372
2,2,11,1.724303832421311
2,2,12,-0.5845380653795944
2,2,13,0.530515697292634
2,2,14,0.0
2,2,15,1.0357695872405626
2,2,16,1.123706071568332
2,2,17,0.587985593571883
2,2,18,-0.14662264408821615
2,2,19,1.0056986996042887
2,3,20,0.24387647684665603
15,行,目
2,2,1,-0.32988835673136463
2,2,2,-0.9401254426556152
2,2,3,-0.1289164620793583
2,2,4,-0.4623466821529514
2,2,5,0.041687711915471166
2,2,6,0.17477059843004827
2,2,7,0.46890494560549123
2,2,8,0.5943759857754298
2,2,9,-0.27598408093193494
2,2,10,0.41628814341217085
2,2,11,0.415638343158997
2,2,12,-1.2649589354126347
2,2,13,-0.43405360481992034
2,2,14,-1.0357695872405626
2,2,15,0.0
2,2,16,-0.5112840713410721
2,2,17,-0.6170695265138634
2,2,18,-0.9085005115811007
2,2,19,0.5091262089591686
2,3,20,-0.8362027311656312
16,行,目
2,2,1,0.2553887272009768
2,2,2,-1.0087148822663294
2,2,3,0.5248431322048568
2,2,4,-0.029941452428828806
2,2,5,0.7244702380631958
2,2,6,0.7858539148489975
2,2,7,1.3348969724951905
2,2,8,1.5278300119889552
2,2,9,0.21087268804751655
2,2,10,1.12544291172239
2,2,11,1.128998892432252
2,2,12,-1.378069574856264
2,2,13,-0.036313085303072874
2,2,14,-1.123706071568332
2,2,15,0.5112840713410721
2,2,16,0.0
2,2,17,-0.2389737854862123
2,2,18,-0.6937425729687213
2,2,19,0.7765693670719849
2,3,20,-0.4232649872290593
17,行,目
2,2,1,0.42204403644400357
2,2,2,-0.4185408270941411
2,2,3,0.6470422722050613
2,2,4,0.14956369368601788
2,2,5,0.8213732754503921
2,2,6,0.8744723877099456
2,2,7,1.3694936827967779
2,2,8,1.5419810950754362
2,2,9,0.3540659108245128
2,2,10,1.1875745158475128
2,2,11,1.1906898610567285
2,2,12,-0.9402635511386138
2,2,13,0.11985184481288763
2,2,14,-0.587985593571883
2,2,15,0.6170695265138634
2,2,16,0.2389737854862123
2,2,17,0.0
2,2,18,-0.48329153918373846
2,2,19,0.8318012183563379
2,3,20,-0.20791734821257074
18,行,目
2,2,1,0.8034548953145934
2,2,2,0.2963303534319849
2,2,3,0.9662389016982806
2,2,4,0.5626641634558113
2,2,5,1.099132455873988
2,2,6,1.1336026112786652
2,2,7,1.5413921426769928
2,2,8,1.6801749951960085
2,2,9,0.7112830541040626
2,2,10,1.3976752440483777
2,2,11,1.4002432396925926
2,2,12,-0.20157904751318462
2,2,13,0.5037559948728314
2,2,14,0.14662264408821615
2,2,15,0.9085005115811007
2,2,16,0.6937425729687213
2,2,17,0.48329153918373846
2,2,18,0.0
2,2,19,1.0022064564435782
2,3,20,0.3269819453811508
19,行,目
2,2,1,-0.6952259543297027
2,2,2,-0.9565664054745259
2,2,3,-0.5966995159546469
2,2,4,-0.7614813039066228
2,2,5,-0.5071114803971246
2,2,6,-0.4204720132583297
2,2,7,-0.28697881146374143
2,2,8,-0.2240358235623314
2,2,9,-0.6662194752791999
2,2,10,-0.2919690548325477
2,2,11,-0.29319813450156035
2,2,12,-1.132970031779624
2,2,13,-0.7491983597361799
2,2,14,-1.0056986996042887
2,2,15,-0.5091262089591686
2,2,16,-0.7765693670719849
2,2,17,-0.8318012183563379
2,2,18,-1.0022064564435782
2,2,19,0.0
2,3,20,-1.147689521879684
20,行,目
3,2,1,0.594826038446257
3,2,2,-0.08152283806295663
3,2,3,0.8190008910247232
3,2,4,0.3409977523223792
3,2,5,1.0067881339140932
3,2,6,1.1009587675095922
3,2,7,1.562833344927755
3,2,8,1.7326940009957195
3,2,9,0.5468526960295546
3,2,10,1.4285108170152503
3,2,11,1.4300916404320765
3,2,12,-0.6324096353597456
3,2,13,0.30394152603238467
3,2,14,-0.24387647684665603
3,2,15,0.8362027311656312
3,2,16,0.4232649872290593
3,2,17,0.20791734821257074
3,2,18,-0.3269819453811508
3,2,19,1.147689521879684
3,3,20,0.0
