"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.399193600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.879891500E-2,-1.843929291E-3,-6.656646729E-4,2.061843872E-3,2.845063240E-3
2.360589500E-2,-4.039669037E-2,3.456592560E-3,6.956338882E-2,8.051649328E-2
2.879547800E-2,-9.793782234E-2,-1.285696030E-2,-1.952171326E-3,9.879741619E-2
3.398506100E-2,-1.409206390E-1,4.816055298E-5,-4.015779495E-2,1.465308067E-1
3.917464500E-2,-1.826040745E-1,2.477264404E-2,-8.964538574E-2,2.049249304E-1
4.432386300E-2,-1.516892910E-1,9.388303757E-2,-2.023878098E-1,2.697860102E-1
4.926636300E-2,-1.402101517E-1,1.186628342E-1,-2.970347404E-1,3.492411658E-1
5.420969700E-2,-8.326268196E-2,1.723766327E-1,-3.411936760E-1,3.912281971E-1
5.915219700E-2,-7.396578789E-2,1.797919273E-1,-2.968578339E-1,3.548529955E-1
6.409391500E-2,1.864027977E-2,2.688870430E-1,-4.031939507E-1,4.849876944E-1
6.903641500E-2,3.128480911E-2,3.155016899E-1,-4.184288979E-1,5.249788550E-1
7.397974900E-2,7.855558395E-2,2.856101990E-1,-4.066772461E-1,5.031208086E-1
7.892224900E-2,2.036955357E-1,3.318243027E-1,-2.895574570E-1,4.852244429E-1
8.386396700E-2,1.991062164E-1,3.161935806E-1,-1.596102715E-1,4.063214302E-1
8.880646700E-2,2.006852627E-1,2.732381821E-1,3.360176086E-2,3.406798455E-1
9.374980100E-2,2.347366810E-1,1.317663193E-1,2.411036491E-1,3.613788067E-1
9.869230100E-2,1.815712452E-1,2.261295319E-1,4.391756058E-1,5.262868942E-1
1.036340200E-1,2.154214382E-1,1.245832443E-1,4.642429352E-1,5.267341679E-1
1.085765200E-1,2.162520885E-1,6.600141525E-2,4.635334015E-1,5.157367225E-1
1.135198530E-1,2.223405838E-1,1.393556595E-2,4.537343979E-1,5.054744692E-1
1.184623530E-1,1.877226830E-1,-2.968168259E-2,4.302792549E-1,4.703839338E-1
1.234040720E-1,1.894373894E-1,-2.183628082E-2,3.523554802E-1,4.006466424E-1
1.283465720E-1,1.594233513E-1,-1.161699295E-1,3.848586082E-1,4.324666528E-1
1.332899050E-1,2.362754345E-1,-1.460871696E-1,5.884895325E-1,6.507591505E-1
1.382324050E-1,1.790034771E-1,-1.950144768E-1,7.066783905E-1,7.546305312E-1
1.431741240E-1,1.352314949E-1,-2.531685829E-1,7.244806290E-1,7.792650835E-1
1.481166240E-1,9.744262695E-2,-2.903785706E-1,7.539501190E-1,8.137908587E-1
1.530599050E-1,1.047558784E-1,-3.999137878E-1,8.154001236E-1,9.142112411E-1
1.580024570E-1,5.396676064E-2,-4.129652977E-1,8.452501297E-1,9.422847394E-1
1.629441240E-1,3.015828133E-2,-4.969892502E-1,8.189063072E-1,9.583920788E-1
1.678866760E-1,-8.593535423E-2,-5.502381325E-1,8.749551773E-1,1.037156425E0
