"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.369798000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.117677800E-2,-3.843307495E-3,-4.091739655E-3,6.710052490E-3,8.748608479E-3
1.598375700E-2,-7.678508759E-3,-8.178710938E-3,1.342725754E-2,1.749691557E-2
2.079073600E-2,-1.150560379E-2,-1.226186752E-2,2.015161514E-2,2.624537877E-2
2.559771500E-2,-1.359872818E-1,-1.018524170E-3,-3.057527542E-2,1.393858876E-1
3.078719400E-2,-1.780276299E-1,-1.840591431E-4,6.041097641E-2,1.879982897E-1
3.597667300E-2,-1.822047234E-1,-5.486822128E-2,1.318850517E-1,2.315226766E-1
4.110901700E-2,-1.895885468E-1,-1.289148331E-1,2.619380951E-1,3.481011590E-1
4.605219400E-2,-2.308545113E-1,-1.709766388E-1,4.365239143E-1,5.225705160E-1
5.099459000E-2,-2.946457863E-1,-1.916112900E-1,5.925965309E-1,6.889859754E-1
5.593776700E-2,-3.186993599E-1,-2.145295143E-1,6.816534996E-1,7.824600233E-1
6.088172500E-2,-3.105745316E-1,-1.890964508E-1,6.723589897E-1,7.643825079E-1
6.582490300E-2,-3.473107815E-1,-1.935038567E-1,6.618094444E-1,7.720493910E-1
7.076724600E-2,-4.013414383E-1,-2.076768875E-1,5.958867073E-1,7.478540016E-1
7.571047500E-2,-4.516484737E-1,-2.555160522E-1,6.178154945E-1,8.068276037E-1
8.065443400E-2,-4.425239563E-1,-2.431759834E-1,5.804848671E-1,7.693664223E-1
8.559761100E-2,-3.974075317E-1,-2.280278206E-1,7.075653076E-1,8.429579454E-1
9.053995500E-2,-3.000073433E-1,-3.109579086E-1,6.938462257E-1,8.173871861E-1
9.548313200E-2,-1.603572369E-1,-3.866157532E-1,6.165199280E-1,7.451731380E-1
1.004271420E-1,-2.678179741E-2,-3.987603188E-1,6.027164459E-1,7.231833590E-1
1.053703190E-1,8.665680885E-2,-4.072399139E-1,6.804175377E-1,7.976977972E-1
1.103126630E-1,1.134812832E-1,-4.510407448E-1,7.401723862E-1,8.741687002E-1
1.152558400E-1,1.041750908E-1,-4.531211853E-1,7.937741280E-1,9.199177269E-1
1.201998500E-1,8.330488205E-2,-4.674978256E-1,7.378292084E-1,8.774313996E-1
1.251430280E-1,2.842712402E-2,-4.819087982E-1,6.795110703E-1,8.335343339E-1
1.300853710E-1,-2.915191650E-2,-4.617557526E-1,6.414504051E-1,7.909025423E-1
1.350285480E-1,-8.939528465E-2,-4.358534813E-1,5.719189644E-1,7.246040822E-1
1.399725590E-1,-1.667382717E-1,-3.810052872E-1,4.696402550E-1,6.273186186E-1
1.449157360E-1,-2.797527313E-1,-3.304271698E-1,3.172736168E-1,5.367553010E-1
1.498580800E-1,-3.587086201E-1,-2.629828453E-1,1.650700569E-1,4.744259423E-1
1.548012570E-1,-4.403645992E-1,-1.883382797E-1,6.874752045E-2,4.838579434E-1
1.597452670E-1,-4.836452007E-1,-1.253056526E-1,-9.512901306E-4,4.996149435E-1
1.646884440E-1,-5.087478161E-1,-8.985042572E-2,-5.153846741E-2,5.191855670E-1
1.696307880E-1,-5.071969032E-1,-3.480434418E-2,-1.112480164E-1,5.204192177E-1
1.745739650E-1,-5.148799419E-1,6.967544556E-3,-1.705970764E-1,5.424511626E-1
1.795179230E-1,-5.550069809E-1,-4.077577591E-2,-1.528730392E-1,5.771183404E-1
1.844611000E-1,-6.012680531E-1,-9.876155853E-2,-7.872581482E-2,6.143898363E-1
1.894034960E-1,-6.113424301E-1,-1.295051575E-1,1.016097069E-1,6.331158545E-1
1.943466730E-1,-5.531899929E-1,-2.247629166E-1,2.175664902E-1,6.355098068E-1
1.992906320E-1,-4.371480942E-1,-2.968034744E-1,3.173384666E-1,6.163557910E-1
2.042338090E-1,-3.107900620E-1,-3.532433510E-1,3.801641464E-1,6.048934665E-1
2.091762050E-1,-2.205820084E-1,-3.966736794E-1,4.346837997E-1,6.284555959E-1
2.141193820E-1,-7.621407509E-2,-4.601950645E-1,4.458003044E-1,6.452332866E-1
2.190633400E-1,8.924698830E-2,-4.639911652E-1,4.843659401E-1,6.766558876E-1
2.240065170E-1,2.058606148E-1,-4.212427139E-1,5.097985268E-1,6.926171776E-1
2.289489130E-1,2.937152386E-1,-3.937921524E-1,4.824709892E-1,6.885631098E-1
2.338920900E-1,3.466351032E-1,-3.415193558E-1,4.456090927E-1,6.598172691E-1
2.388360480E-1,3.537063599E-1,-3.117156029E-1,4.157075882E-1,6.285599454E-1
2.437792250E-1,3.016223907E-1,-2.687959671E-1,3.739948273E-1,5.505447024E-1
2.487216210E-1,1.793210506E-1,-1.872310638E-1,2.857851982E-1,3.858557891E-1
2.536647980E-1,1.113152504E-2,-1.356892586E-1,1.661696434E-1,2.148204742E-1
2.586087570E-1,-1.957716942E-1,-7.104015350E-2,3.225517273E-2,2.107454764E-1
2.635519340E-1,-3.874239922E-1,-4.257202148E-2,-6.863164902E-2,3.957524857E-1
2.684943300E-1,-5.388331413E-1,-7.223606110E-3,-1.040868759E-1,5.488418829E-1
2.734375070E-1,-6.487166882E-1,-7.445335388E-3,-7.750892639E-2,6.533731003E-1
2.783814650E-1,-7.086598873E-1,4.231929779E-3,-3.675699234E-2,7.096251275E-1
2.833246420E-1,-7.288987637E-1,-1.014757156E-2,-3.375148773E-2,7.297503298E-1
2.882669860E-1,-7.054085732E-1,-4.059123993E-2,-2.796220779E-2,7.071285519E-1
2.932101630E-1,-6.437196732E-1,-4.427909851E-2,-5.421638489E-3,6.452635511E-1
2.981541730E-1,-5.465967655E-1,-4.301214218E-2,7.130002975E-2,5.529030319E-1
3.030973500E-1,-4.189670086E-1,-7.718706131E-2,1.755118370E-1,4.607554684E-1
3.080396940E-1,-2.537045479E-1,-1.204924583E-1,2.619256973E-1,3.840436187E-1
3.129828710E-1,-1.195259094E-1,-1.703295708E-1,2.788720131E-1,3.479485672E-1
3.179268820E-1,3.637790680E-2,-2.126088142E-1,3.451566696E-1,4.070122683E-1
3.228700590E-1,1.432723999E-1,-2.262921333E-1,4.245877266E-1,5.020058244E-1
3.278124030E-1,1.974327564E-1,-2.331180573E-1,4.415040016E-1,5.368887272E-1
3.327555800E-1,2.398502827E-1,-2.521147728E-1,4.605145454E-1,5.772033119E-1
3.376995900E-1,2.685089111E-1,-2.595853806E-1,4.768395424E-1,6.056876706E-1
3.426427670E-1,2.626180649E-1,-2.203707695E-1,4.904394150E-1,5.983831079E-1
3.475851110E-1,1.753351688E-1,-2.081274986E-1,4.517545700E-1,5.273913809E-1
3.525282880E-1,2.877378464E-2,-1.656699181E-1,3.544354439E-1,3.922995492E-1
3.574722980E-1,-1.411676407E-1,-1.071696281E-1,2.297902107E-1,2.902019520E-1
3.624154230E-1,-2.802705765E-1,-4.682445526E-2,8.528995514E-2,2.966791231E-1
3.673578190E-1,-3.726239204E-1,2.039146423E-2,-5.066728592E-2,3.766053263E-1
3.723009960E-1,-4.308466911E-1,7.109212875E-2,-1.949367523E-1,4.782084268E-1
3.772449550E-1,-5.030052662E-1,1.294240952E-1,-3.002433777E-1,5.999258121E-1
3.821881320E-1,-4.850749969E-1,1.551074982E-1,-3.197884560E-1,6.013491043E-1
3.871305280E-1,-3.973021507E-1,1.791625023E-1,-2.804651260E-1,5.182749156E-1
3.920737050E-1,-2.665812969E-1,1.753439903E-1,-2.654991150E-1,4.150914151E-1
3.970176630E-1,-1.666865349E-1,1.391410828E-1,-1.870083809E-1,2.865602491E-1
4.019608400E-1,-5.453896523E-2,1.037998199E-1,-9.763193130E-2,1.525807831E-1
4.069032360E-1,5.571055412E-2,9.872436523E-3,3.579282761E-2,6.694966282E-2
4.118464130E-1,1.643662453E-1,-6.885671616E-2,1.962552071E-1,2.650917129E-1
4.167903710E-1,2.577986717E-1,-1.494541168E-1,3.526854515E-1,4.617182213E-1
4.217335480E-1,3.435931206E-1,-2.155213356E-1,4.341678619E-1,5.941442678E-1
4.266759440E-1,3.816432953E-1,-2.554726601E-1,4.582004547E-1,6.487415060E-1
4.316191210E-1,3.725328445E-1,-2.697129250E-1,4.728393555E-1,6.596232548E-1
4.365630800E-1,3.261437416E-1,-2.820973396E-1,4.805355072E-1,6.456493033E-1
4.415062570E-1,2.617475986E-1,-2.973213196E-1,4.718875885E-1,6.161084877E-1
4.464486530E-1,2.149291039E-1,-2.752499580E-1,4.377765656E-1,5.600048039E-1
4.513918300E-1,1.854240894E-1,-2.446646690E-1,3.618998528E-1,4.745675891E-1
4.563357880E-1,1.159517765E-1,-1.745643616E-1,2.516975403E-1,3.275197438E-1
4.612789650E-1,4.456472397E-2,-1.339392662E-1,1.359949112E-1,1.960111158E-1
4.662213610E-1,-3.612399101E-2,-7.248020172E-2,-3.021526337E-2,8.643659242E-2
4.711645380E-1,-9.549188614E-2,-9.163379669E-3,-1.587910652E-1,1.855189215E-1
4.761084960E-1,-1.575875282E-1,6.580972672E-2,-2.669258118E-1,3.168818994E-1
4.810516730E-1,-1.963541508E-1,8.137702942E-2,-3.762645721E-1,4.321483561E-1
4.859940170E-1,-1.811087132E-1,9.269094467E-2,-4.063477516E-1,4.544342334E-1
4.909371940E-1,-9.800457954E-2,1.234455109E-1,-4.338731766E-1,4.616163181E-1
4.958812050E-1,-1.964569092E-3,1.285643578E-1,-4.354205132E-1,4.540084546E-1
5.008243820E-1,6.693243980E-2,7.495069504E-2,-3.520402908E-1,3.661009759E-1
5.057667250E-1,1.353597641E-1,1.995515823E-2,-2.059698105E-1,2.472732030E-1
5.107099030E-1,2.204856873E-1,-1.060628891E-2,-4.767990112E-2,2.258313632E-1
