"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.127205200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.607903100E-2,-1.783370972E-3,-3.586292267E-3,5.757808685E-3,7.013862353E-3
2.129517700E-2,-3.760814667E-3,-7.577419281E-3,1.217317581E-2,1.482387329E-2
2.623851000E-2,-5.554199219E-3,-1.121044159E-2,1.801967621E-2,2.193699752E-2
3.118106200E-2,-1.414198875E-1,-4.742050171E-2,4.879903793E-2,1.569383149E-1
3.612444800E-2,8.799552917E-3,-8.154964447E-2,1.243247986E-1,1.489443929E-1
4.106861500E-2,1.172666550E-1,-1.336665154E-1,1.105332375E-1,2.093700128E-1
4.601194800E-2,1.245241165E-1,-1.296997070E-1,1.217350960E-1,2.171352187E-1
5.095455200E-2,1.201691628E-1,-9.207010269E-2,1.272597313E-1,1.977689831E-1
5.589788500E-2,1.048154831E-1,-4.859542847E-2,1.984868050E-1,2.296623890E-1
6.084205200E-2,4.531950951E-1,1.435899734E-2,2.892084122E-1,5.378043145E-1
6.578543700E-2,1.201210022E-1,-9.464263916E-2,3.287620544E-1,3.625889860E-1
7.072799000E-2,-2.174558640E-1,-1.738419533E-1,3.388605118E-1,4.385596013E-1
7.567132300E-2,-3.877415657E-1,-2.239680290E-1,-1.077237129E-1,4.605535779E-1
8.061549000E-2,-2.827367783E-1,5.659866333E-2,1.161704063E-1,3.108682322E-1
8.555887500E-2,-1.361665726E-1,1.470732689E-1,2.771954536E-1,3.420660776E-1
9.050142700E-2,2.153110504E-2,8.633947372E-2,3.554797173E-1,3.664477078E-1
9.544476000E-2,1.871600151E-1,7.180309296E-2,3.872356415E-1,4.360458662E-1
1.003889270E-1,3.208708763E-1,8.280324936E-2,3.998494148E-1,5.193207601E-1
1.053323120E-1,4.274010658E-1,6.124687195E-2,4.440245628E-1,6.193388917E-1
1.102748650E-1,4.746775627E-1,-1.637792587E-2,4.744391441E-1,6.713266913E-1
1.152181980E-1,1.092410088E-1,-3.481616974E-1,4.015398026E-1,5.425720031E-1
1.201624170E-1,-2.586870193E-1,-6.163687706E-1,1.320958138E-1,6.813800257E-1
1.251057500E-1,2.511239052E-1,-3.201465607E-1,1.891450882E-1,4.487013488E-1
1.300483020E-1,8.308606148E-1,1.617865562E-1,4.872264862E-1,9.766749202E-1
1.349916870E-1,1.119297028E0,4.864826202E-1,9.097714424E-1,1.522227070E0
1.399358540E-1,7.361826897E-1,2.109403610E-1,1.245892525E0,1.462432553E0
1.448791870E-1,8.472585678E-1,-1.897020340E-1,1.220223904E0,1.497591506E0
1.498217400E-1,1.119566441E0,-3.152675629E-1,1.330458164E0,1.767184647E0
1.547651250E-1,1.182819843E0,-2.799053192E-1,1.410491943E0,1.861960604E0
1.597092920E-1,1.119590759E0,-2.650446892E-1,1.397477627E0,1.810159074E0
1.646526250E-1,9.094362259E-1,-1.979622841E-1,1.413448811E0,1.692365461E0
1.695951770E-1,6.089491844E-1,-1.195297241E-1,1.411859512E0,1.542223637E0
1.745385620E-1,3.218398094E-1,-7.145357132E-2,1.337750435E0,1.377774547E0
1.794827290E-1,5.159187317E-2,-5.242061615E-2,1.160383701E0,1.162712336E0
1.844261150E-1,-1.915321350E-1,-6.086587906E-2,9.403386116E-1,9.615747077E-1
1.893686670E-1,-3.716106415E-1,-5.111503601E-2,6.920289993E-1,7.871539568E-1
1.943120000E-1,-4.369320869E-1,-9.137630463E-3,4.596438408E-1,6.342441212E-1
1.992561670E-1,-4.555950165E-1,8.721351624E-3,2.674860954E-1,5.283859312E-1
2.041995520E-1,-4.378776550E-1,2.906894684E-2,1.464462280E-1,4.626319727E-1
2.091421040E-1,-3.677511215E-1,1.936769485E-2,3.781938553E-2,3.701976511E-1
2.140854900E-1,-3.019366264E-1,-1.728534698E-2,-3.360748291E-3,3.024496722E-1
2.190296040E-1,-2.446537018E-1,-5.668497086E-2,-5.171632767E-2,2.564043648E-1
2.239729900E-1,-2.232842445E-1,-8.239364624E-2,-7.490444183E-2,2.495100042E-1
2.289155420E-1,-1.781010628E-1,-1.041450500E-1,-8.092927933E-2,2.216206855E-1
2.338589270E-1,-1.397314072E-1,-1.080303192E-1,-7.515096664E-2,1.919455230E-1
2.388030940E-1,-1.313986778E-1,-1.249957085E-1,-5.307054520E-2,1.889603727E-1
2.437464270E-1,-1.878304482E-1,-1.268191338E-1,-5.214405060E-2,2.325561695E-1
2.486889790E-1,-2.421851158E-1,-1.280112267E-1,-3.418874741E-2,2.760604552E-1
2.536323650E-1,-3.206067085E-1,-1.052145958E-1,-1.558208466E-2,3.377892451E-1
2.585765310E-1,-3.736462593E-1,-6.839609146E-2,4.397964478E-2,3.823921568E-1
2.635198650E-1,-3.479323387E-1,-4.624509811E-2,8.541822433E-2,3.612364800E-1
2.684624690E-1,-2.919635773E-1,-1.269340515E-3,9.541749954E-2,3.071625643E-1
2.734058020E-1,-2.134251595E-1,2.598094940E-2,9.133005142E-2,2.335947061E-1
2.783499690E-1,-1.693806648E-1,5.233049393E-2,4.080390930E-2,1.819155002E-1
2.832933540E-1,-1.947274208E-1,5.439186096E-2,-2.458143234E-2,2.036700512E-1
2.882359060E-1,-2.204060555E-1,5.608797073E-2,-6.891679764E-2,2.376430406E-1
2.931792400E-1,-2.442560196E-1,4.583454132E-2,-9.489870071E-2,2.660217504E-1
2.981234060E-1,-3.087067604E-1,2.717971802E-3,-8.876991272E-2,3.212278766E-1
3.030667920E-1,-3.401250839E-1,-2.557897568E-2,-1.170592308E-1,3.606136717E-1
3.080093440E-1,-3.601760864E-1,-6.965208054E-2,-1.654214859E-1,4.024207917E-1
3.129527290E-1,-3.925881386E-1,-8.905315399E-2,-2.054638863E-1,4.519638474E-1
3.178968440E-1,-3.828234673E-1,-1.194262505E-1,-2.423176765E-1,4.685448674E-1
3.228402290E-1,-3.714509010E-1,-1.156315804E-1,-2.551760674E-1,4.652539732E-1
3.277827810E-1,-3.158397675E-1,-9.005498886E-2,-2.681565285E-1,4.239959711E-1
3.327261670E-1,-2.070069313E-1,-1.019964218E-1,-2.507886887E-1,3.408080193E-1
3.376703330E-1,-1.042799950E-1,-1.039400101E-1,-2.344026566E-1,2.768076019E-1
3.426136670E-1,-3.562021255E-2,-1.056823730E-1,-2.237358093E-1,2.499905516E-1
3.475562190E-1,3.485059738E-2,-6.954526901E-2,-1.855669022E-1,2.012117883E-1
3.524996040E-1,4.565143585E-2,-1.489543915E-2,-1.508426666E-1,1.583017302E-1
3.574437710E-1,1.896429062E-2,1.068687439E-2,-1.124048233E-1,1.144932221E-1
3.623871560E-1,4.019927979E-2,-4.664564133E-2,-1.339669228E-1,1.474412912E-1
3.673297080E-1,1.881551743E-2,-1.100864410E-1,-1.697840691E-1,2.032232228E-1
3.722730420E-1,1.198959351E-2,-7.560062408E-2,-1.936678886E-1,2.082461424E-1
3.772172080E-1,-4.201412201E-2,-5.313491821E-2,-1.820349693E-1,1.942298536E-1
3.821605940E-1,-5.538892746E-2,-4.480743408E-2,-1.729836464E-1,1.870801469E-1
3.871031460E-1,-4.524612427E-2,-7.655858994E-2,-1.355986595E-1,1.621586443E-1
3.920464790E-1,-1.648712158E-2,-8.890390396E-2,-1.151800156E-1,1.464314355E-1
3.969906460E-1,2.226829529E-3,-1.009721756E-1,-1.398200989E-1,1.724818804E-1
4.019340310E-1,-1.973867416E-2,-7.964134216E-2,-1.569423676E-1,1.770967684E-1
4.068765830E-1,-2.530002594E-2,-6.774330139E-2,-1.453046799E-1,1.623043320E-1
4.118199170E-1,-2.161598206E-2,-5.815935135E-2,-1.029553413E-1,1.202063357E-1
4.167641350E-1,5.584239960E-3,-5.092573166E-2,-7.770776749E-2,9.307583472E-2
4.217074690E-1,3.258991241E-2,-1.550006866E-2,-3.153085709E-2,4.792232745E-2
4.266500210E-1,7.117128372E-2,-6.556987762E-3,-2.378416061E-2,7.532617083E-2
4.315934060E-1,8.088684082E-2,1.187944412E-2,-2.330398560E-2,8.501104608E-2
4.365375730E-1,5.043935776E-2,3.017663956E-2,-1.777172089E-3,5.880405366E-2
4.414809060E-1,9.396457672E-2,-6.043243408E-2,-9.313106537E-3,1.121077817E-1
4.464235100E-1,1.086797714E-1,-1.357250214E-1,-9.825229645E-3,1.741525460E-1
4.513668440E-1,1.044058800E-1,-1.013565063E-1,8.905172348E-2,1.705987650E-1
4.563110100E-1,1.002378464E-1,-3.915405273E-2,1.940741539E-1,2.219131427E-1
4.612543960E-1,1.171517372E-1,-7.021236420E-2,2.629714012E-1,2.963245914E-1
4.661969480E-1,1.855273247E-1,-1.275968552E-1,3.582448959E-1,4.231320729E-1
4.711402810E-1,2.036833763E-1,-8.326005936E-2,4.339685440E-1,4.865674182E-1
4.760844480E-1,2.342443466E-1,-7.062387466E-2,3.000493050E-1,3.871533688E-1
4.810278330E-1,3.097300529E-1,-9.368133545E-2,4.178905487E-2,3.262747667E-1
4.859703850E-1,3.367915154E-1,-7.373285294E-2,-9.038305283E-2,3.564185105E-1
4.909137710E-1,2.924103737E-1,-1.956462860E-3,-6.224489212E-2,2.989683612E-1
4.958578850E-1,2.248826027E-1,3.346633911E-2,1.061964035E-2,2.276070245E-1
5.008012710E-1,1.723575592E-1,5.894851685E-2,1.639223099E-2,1.828954923E-1
5.057438230E-1,1.702985764E-1,2.491569519E-2,3.143501282E-2,1.749587294E-1
5.106872080E-1,1.494011879E-1,7.808685303E-3,6.046533585E-2,1.613621621E-1
5.156313750E-1,1.097540855E-1,7.464408875E-3,8.210754395E-2,1.372709928E-1
5.205747080E-1,7.988357544E-2,-1.187610626E-2,1.321401596E-1,1.548659075E-1
5.255172600E-1,3.357982635E-2,4.272937775E-3,1.962957382E-1,1.991930711E-1
5.304606460E-1,6.542682648E-3,-1.226425171E-3,1.937484741E-1,1.938627918E-1
5.354048120E-1,-1.814603806E-2,-1.150369644E-2,1.655297279E-1,1.669182571E-1
5.403481460E-1,2.120780945E-2,-4.029273987E-4,1.046814919E-1,1.068089335E-1
5.452907500E-1,5.281496048E-2,-1.300811768E-3,3.998374939E-2,6.625565921E-2
5.502340830E-1,8.864593506E-2,-1.639509201E-2,9.325981140E-3,9.063042960E-2
5.551782500E-1,1.358194351E-1,-1.946020126E-2,4.978179932E-4,1.372073840E-1
5.601216350E-1,1.897134781E-1,-2.264499664E-2,5.829381943E-2,1.997552728E-1
5.650641870E-1,2.289752960E-1,-3.791999817E-2,1.109762192E-1,2.572612168E-1
5.700075210E-1,2.323536873E-1,-5.093908310E-2,1.443853378E-1,2.782627391E-1
5.749516870E-1,2.097520828E-1,-5.466985703E-2,1.491479874E-1,2.631156621E-1
5.798950730E-1,1.614980698E-1,-5.865192413E-2,1.372323036E-1,2.198962935E-1
5.848376250E-1,1.875395775E-1,-6.755733490E-2,1.680102348E-1,2.606962325E-1
5.897810100E-1,1.829028130E-1,-8.368730545E-2,1.626510620E-1,2.586742586E-1
5.947251770E-1,1.478438377E-1,-5.953550339E-2,1.523451805E-1,2.204797736E-1
5.996685100E-1,1.062035561E-1,-3.802633286E-2,1.537985802E-1,1.907333232E-1
6.046110620E-1,6.048965454E-2,-1.920795441E-2,1.312522888E-1,1.457913137E-1
6.095544480E-1,5.814552307E-3,3.982782364E-2,1.063385010E-1,1.137011053E-1
6.144986150E-1,-1.032352448E-2,6.278896332E-2,5.538702011E-2,8.436083848E-2
6.194419480E-1,-1.459550858E-2,8.077430725E-2,2.403688431E-2,8.552946504E-2
6.243845000E-1,-2.382946014E-2,8.913660049E-2,-1.154518127E-2,9.298638572E-2
6.293278850E-1,-7.220745087E-3,1.021342278E-1,-2.741813660E-2,1.059966691E-1
6.342720520E-1,-2.433681488E-2,9.127235413E-2,-5.701112747E-2,1.103321886E-1
6.392153850E-1,-5.349159241E-2,8.775043488E-2,-8.374786377E-2,1.325714674E-1
6.441579900E-1,-6.847238541E-2,1.009988785E-1,-1.147661209E-1,1.675126966E-1
6.491013230E-1,-9.800529480E-2,9.541082382E-2,-1.144080162E-1,1.783184154E-1
6.540454900E-1,-1.180558205E-1,5.215072632E-2,-1.068696976E-1,1.675649345E-1
6.589888750E-1,-1.355748177E-1,1.668596268E-2,-4.978513718E-2,1.453874562E-1
6.639314270E-1,-1.551895142E-1,-3.886699677E-3,-4.347419739E-2,1.612107241E-1
6.688747600E-1,-1.578788757E-1,-3.105115891E-2,-2.580261230E-2,1.629591626E-1
6.738189270E-1,-1.460919380E-1,-6.000375748E-2,1.255846024E-2,1.584330148E-1
6.787623120E-1,-9.380578995E-2,-7.190704346E-2,4.543113708E-2,1.266259742E-1
6.837048650E-1,-5.825328827E-2,-6.925296783E-2,6.088018417E-2,1.090679420E-1
6.886482500E-1,-8.414268494E-3,-8.089494705E-2,1.019687653E-1,1.304316735E-1
6.935924170E-1,3.430795670E-2,-9.732675552E-2,1.233754158E-1,1.608447278E-1
6.985357500E-1,7.937049866E-2,-8.537197113E-2,1.776885986E-1,2.125118528E-1
7.034783020E-1,1.292386055E-1,-1.001176834E-1,2.433490753E-1,2.931636747E-1
7.084216870E-1,1.648740768E-1,-7.256126404E-2,2.942099571E-1,3.449755022E-1
7.133658540E-1,1.601805687E-1,-7.916069031E-2,2.926297188E-1,3.428649615E-1
7.183091870E-1,1.439557076E-1,-8.154439926E-2,2.769761086E-1,3.226274934E-1
7.232517920E-1,9.720325470E-2,-8.191967010E-2,2.235684395E-1,2.571811661E-1
7.281951250E-1,2.701616287E-2,-8.721685410E-2,9.487247467E-2,1.316717097E-1
7.331392920E-1,-6.425952911E-2,-7.816219330E-2,7.696151733E-4,1.011889710E-1
7.380826770E-1,-1.409578323E-1,-5.005311966E-2,-4.945755005E-2,1.575451508E-1
7.430252290E-1,-2.199082375E-1,-3.624582291E-2,-7.985353470E-2,2.367487689E-1
7.479685620E-1,-2.679805756E-1,-1.752567291E-2,-1.332626343E-1,2.997993792E-1
7.529127290E-1,-3.115773201E-1,1.320838928E-3,-1.833510399E-1,3.615242383E-1
7.578561150E-1,-3.174281120E-1,-1.043701172E-2,-2.018413544E-1,3.763103372E-1
7.627986670E-1,-3.309183121E-1,-2.876663208E-2,-2.009406090E-1,3.882158893E-1
7.677420000E-1,-3.090887070E-1,-1.332378387E-2,-2.070431709E-1,3.722636520E-1
7.726861670E-1,-2.521314621E-1,-2.852392197E-2,-1.418266296E-1,2.906865686E-1
7.776295520E-1,-2.195000648E-1,-2.432584763E-2,-5.352210999E-2,2.272369723E-1
7.825721040E-1,-1.561975479E-1,-2.480506897E-2,2.200174332E-2,1.596779325E-1
7.875154900E-1,-1.121768951E-1,-5.149269104E-2,8.721923828E-2,1.511368537E-1
7.924596560E-1,-4.456520081E-2,-7.560586929E-2,1.303091049E-1,1.571075027E-1
7.974029900E-1,-1.518678665E-2,-9.479331970E-2,1.774592400E-1,2.017627166E-1
8.023455420E-1,2.134084702E-2,-1.091351509E-1,1.622433662E-1,1.966947452E-1
8.072889270E-1,6.019973755E-2,-1.235260963E-1,1.185183525E-1,1.814643347E-1
8.122330940E-1,5.620431900E-2,-1.187343597E-1,8.437156677E-2,1.561260226E-1
