m,n,times,F
7,9,9,-3.411712387293772
7,9,10,-3.2269200499730286
7,7,11,0.0
7,5,12,0.029624245726146328
7,9,13,-2.4139867990522115
7,5,14,-2.892331102118382
7,7,15,-3.0865547207548727
7,9,16,-1.942364372467865
7,6,17,-2.746419543713423
7,8,18,-0.9853902045207912
7,9,19,-0.13200122601477363
7,8,20,-1.4350992926227815
12,行,目
5,6,1,1.6147914570607265
5,8,2,0.5787848625194457
5,7,3,1.717075396217508
5,8,4,-0.10954895698865028
5,6,5,-0.3490493506876224
5,5,6,0.04642682529369606
5,6,7,-0.7992651277612028
5,7,8,-0.6916574163625259
5,9,9,-2.6721767993133954
5,9,10,-2.5761672315331525
5,7,11,-0.029624245726146328
5,5,12,0.0
5,9,13,-1.9078949785457733
5,5,14,-2.196958539281054
5,7,15,-2.40430327945622
5,9,16,-1.5695445764046523
5,6,17,-2.114565284816184
5,8,18,-0.8092297759745637
5,9,19,-0.13297737889011954
5,8,20,-1.1547649994085425
13,行,目
9,6,1,6.911499031734998
9,8,2,3.525430712988129
9,7,3,4.862641965735934
9,8,4,2.853432012129544
9,6,5,2.2424258553118963
9,5,6,3.365152328088416
9,6,7,1.676332823121771
9,7,8,2.3342734394724163
9,9,9,-1.452213336511907
9,9,10,-1.5568733930968808
9,7,11,2.4139867990522115
9,5,12,1.9078949785457733
9,9,13,0.0
9,5,14,-1.5211807597898406
9,7,15,-1.4195993179142001
9,9,16,0.13163444890142978
9,6,17,-1.0153642372968346
9,8,18,1.3011542456044407
9,9,19,1.7189919082271605
9,8,20,0.966558082815683
14,行,目
5,6,1,9.333390720988941
5,8,2,3.8137465634731256
5,7,3,4.577114448008228
5,8,4,3.6889377214199093
5,6,5,3.2727235594419093
5,5,6,5.550590224694315
5,6,7,3.291730504004859
5,7,8,4.503973735074976
5,9,9,0.1726072630065655
5,9,10,-0.2588542493483969
5,7,11,2.892331102118382
5,5,12,2.196958539281054
5,9,13,1.5211807597898406
5,5,14,0.0
5,7,15,0.02379155924813695
5,9,16,1.1258106232877063
5,6,17,0.5870169412213004
5,8,18,2.071864237945432
5,9,19,1.9654192943324496
5,8,20,2.037264124770999
15,行,目
7,6,1,7.828050606132578
7,8,2,4.10904992422019
7,7,3,5.089301572469962
7,8,4,3.7449260889087226
7,6,5,3.1624021138387093
7,5,6,4.438866896505686
7,6,7,2.8538672040010282
7,7,8,3.6823481113024035
7,9,9,0.13473387213076723
7,9,10,-0.28989112921130916
7,7,11,3.0865547207548727
7,5,12,2.40430327945622
7,9,13,1.4195993179142001
7,5,14,-0.02379155924813695
7,7,15,0.0
7,9,16,1.1808072899301592
7,6,17,0.44432459970942817
7,8,18,2.184508504141791
7,9,19,2.228691704796163
7,8,20,2.046291677884941
16,行,目
9,6,1,4.852021221137568
9,8,2,2.9117249683883593
9,7,3,4.21495955840327
9,8,4,2.1886184530952075
9,6,5,1.6329294116500355
9,5,6,2.2686594539857747
9,6,7,1.1113647002354532
9,7,8,1.5396956598302354
9,9,9,-1.2284289793612844
9,9,10,-1.4042694447866988
9,7,11,1.942364372467865
9,5,12,1.5695445764046523
9,9,13,-0.13163444890142978
9,5,14,-1.1258106232877063
9,7,15,-1.1808072899301592
9,9,16,0.0
9,6,17,-0.8324237454206476
9,8,18,0.9854446645854852
9,9,19,1.4958712797283935
9,8,20,0.6609956261793974
17,行,目
6,6,1,8.190657586499222
6,8,2,3.7237898720992098
6,7,3,4.660051900996388
6,8,4,3.410450156708608
6,6,5,2.9093117206659125
6,5,6,4.552890627206531
6,6,7,2.6615544419679376
6,7,8,3.587800576637334
6,9,9,-0.3551277929053703
6,9,10,-0.6404848594258834
6,7,11,2.746419543713423
6,5,12,2.114565284816184
6,9,13,1.0153642372968346
6,5,14,-0.5870169412213004
6,7,15,-0.44432459970942817
6,9,16,0.8324237454206476
6,6,17,0.0
6,8,18,1.839954718472736
6,9,19,1.9016157012617418
6,8,20,1.6973021696777824
18,行,目
8,6,1,3.5910826181149735
8,8,2,1.867525942834646
8,7,3,3.2383504479795495
8,8,4,1.0643027609116726
8,6,5,0.6195986839972291
8,5,6,1.209553971241974
8,6,7,0.04982477857606623
8,7,8,0.3436392717910722
8,9,9,-2.372860149252945
8,9,10,-2.353121233061944
8,7,11,0.9853902045207912
8,5,12,0.8092297759745637
8,9,13,-1.3011542456044407
8,5,14,-2.071864237945432
8,7,15,-2.184508504141791
8,9,16,-0.9854446645854852
8,6,17,-1.839954718472736
8,8,18,0.0
8,9,19,0.6903336479572801
8,8,20,-0.39518440991931025
19,行,目
9,6,1,1.7683836315801547
9,8,2,0.8043009767177812
9,7,3,2.092859677516636
9,8,4,0.07103698301642837
9,6,5,-0.19373781305040666
9,5,6,0.20261362692685791
9,6,7,-0.6258844146672639
9,7,8,-0.49239091562233306
9,9,9,-2.4645159835696826
9,9,10,-2.539608406143235
9,7,11,0.13200122601477363
9,5,12,0.13297737889011954
9,9,13,-1.7189919082271605
9,5,14,-1.9654192943324496
9,7,15,-2.228691704796163
9,9,16,-1.4958712797283935
9,6,17,-1.9016157012617418
9,8,18,-0.6903336479572801
9,9,19,0.0
9,8,20,-1.0146406042214777
20,行,目
8,6,1,4.677600467035289
8,8,2,2.399171696203961
8,7,3,3.761320241825628
8,8,4,1.6229630673680322
8,6,5,1.1120164831113142
8,5,6,1.8626301196348334
8,6,7,0.5116111824136302
8,7,8,0.9149315981596182
8,9,9,-2.1937239358565144
8,9,10,-2.15680954213688
8,7,11,1.4350992926227815
8,5,12,1.1547649994085425
8,9,13,-0.966558082815683
8,5,14,-2.037264124770999
8,7,15,-2.046291677884941
8,9,16,-0.6609956261793974
8,6,17,-1.6973021696777824
8,8,18,0.39518440991931025
8,9,19,1.0146406042214777
8,8,20,0.0
