m,n,times,F
6,9,8,-0.23481467553382868
6,8,9,-3.034804466114345
6,8,10,-1.1414466282442426
6,6,11,0.0
6,9,12,-0.4979096382375858
6,7,13,-0.8305770479805801
6,7,14,0.95628876716368
6,7,15,-1.5492933010556917
6,7,16,0.32458248551728996
6,6,17,-0.31128639425985916
6,9,18,-0.5305067262819824
6,10,19,1.0046279798244855
6,10,20,0.3362911585639673
12,行,目
9,8,1,0.014053012757286753
9,9,2,1.9325101722531777
9,10,3,2.0805789217973323
9,9,4,0.26010997237734346
9,8,5,0.31425683625095796
9,6,6,1.5370713684003958
9,6,7,0.44461633154574187
9,9,8,0.3312813267231456
9,8,9,-0.9838635499122225
9,8,10,-0.009739176729131847
9,6,11,0.4979096382375858
9,9,12,0.0
9,7,13,0.20772926942748426
9,7,14,1.1804863299497914
9,7,15,-0.17101838192032515
9,7,16,0.6905125382800802
9,6,17,0.322852814519589
9,9,18,0.13743122340965136
9,10,19,1.2965020023178244
9,10,20,0.7955363186312773
13,行,目
7,8,1,-0.2260450865888608
7,9,2,2.168514389471923
7,10,3,2.044302683279945
7,9,4,0.06856549833676621
7,8,5,0.18660019074331782
7,6,6,2.9114676183362125
7,6,7,0.7082439552781997
7,9,8,0.19138537047088622
7,8,9,-2.6373565173901246
7,8,10,-0.5030873320014514
7,6,11,0.8305770479805801
7,9,12,-0.20772926942748426
7,7,13,0.0
7,7,14,1.4590266724775638
7,7,15,-0.9341506191231784
7,7,16,1.062091553877977
7,6,17,0.302870003193411
7,9,18,-0.09613315610156714
7,10,19,1.6188729426895079
7,10,20,0.7930623666806391
14,行,目
7,8,1,-1.2720501296882878
7,9,2,0.7567528020395577
7,10,3,1.035895897645818
7,9,4,-1.5271104825566575
7,8,5,-1.0812986029669727
7,6,6,0.3420394649558554
7,6,7,-1.0302133108126903
7,9,8,-1.0668456435094893
7,8,9,-2.8790565229482628
7,8,10,-1.7383253404052061
7,6,11,-0.95628876716368
7,9,12,-1.1804863299497914
7,7,13,-1.4590266724775638
7,7,14,0.0
7,7,15,-1.864603520614298
7,7,16,-0.7784348014188791
7,6,17,-1.089715410918738
7,9,18,-1.336339483108239
7,10,19,-0.1650308638148032
7,10,20,-0.5742256797358304
15,行,目
