"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.014266500E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.494964400E-2,1.566410065E-4,-3.724098206E-4,3.008842468E-4,5.037428008E-4
1.975662300E-2,3.131628036E-4,-7.443428040E-4,6.017684937E-4,1.007096059E-3
2.497198800E-2,4.897117615E-4,-1.163959503E-3,9.407997131E-4,1.574713763E-3
2.991485300E-2,6.493330002E-4,-1.543521881E-3,1.247882843E-3,2.088373705E-3
3.485693600E-2,6.265699863E-2,6.590938568E-2,-1.101694107E-1,1.428539312E-1
3.979985300E-2,7.860660553E-2,4.968309402E-2,-5.080604553E-2,1.059653836E-1
4.474349800E-2,1.360967159E-1,5.537462234E-2,-2.505874634E-2,1.490523588E-1
4.968641500E-2,1.127481461E-1,5.492877960E-2,-2.172279358E-2,1.272839150E-1
5.462849800E-2,1.082265377E-1,4.659509659E-2,-3.838396072E-2,1.239250375E-1
5.957136300E-2,1.008564234E-1,2.207851410E-2,-2.562379837E-2,1.063769616E-1
6.451506100E-2,9.055161476E-2,2.173471451E-2,-4.267024994E-2,1.024340909E-1
6.945792600E-2,4.189372063E-2,-7.158756256E-3,-4.102420807E-2,5.907044326E-2
7.440000900E-2,8.076190948E-3,-7.353782654E-3,-5.752468109E-2,5.855247146E-2
7.934287300E-2,-1.003861427E-2,-7.013845444E-2,-4.417133331E-2,8.349421090E-2
8.428657100E-2,-6.073331833E-2,-5.300045013E-2,-5.654048920E-2,9.846019799E-2
8.922943600E-2,-1.064310074E-1,-8.214235306E-2,-2.559089661E-2,1.368569307E-1
9.417151900E-2,-1.115210056E-1,-6.925153732E-2,-6.428289413E-2,1.461677139E-1
9.911438400E-2,-1.511571407E-1,-7.405376434E-2,2.179050446E-2,1.697270376E-1
1.040580820E-1,-1.632715464E-1,-1.494112015E-1,3.814649582E-2,2.245806317E-1
1.090009980E-1,-1.766028404E-1,-1.167850494E-1,8.853864670E-2,2.294916185E-1
1.139430300E-1,-1.613299847E-1,-1.478319168E-1,1.397094727E-1,2.596158245E-1
1.188859460E-1,-1.619436741E-1,-1.163344383E-1,1.712570190E-1,2.628467647E-1
1.238295920E-1,-1.567468643E-1,-1.050047874E-1,2.596707344E-1,3.209742594E-1
1.287725090E-1,-1.502414942E-1,-9.680175781E-2,2.005548477E-1,2.686360620E-1
1.337145920E-1,-1.376305819E-1,-7.758474350E-2,1.718091965E-1,2.334094460E-1
1.386574570E-1,-1.167249680E-1,-3.605890274E-2,2.112779617E-1,2.440560176E-1
1.436011550E-1,-1.265832186E-1,-3.510427475E-2,1.617426872E-1,2.083658278E-1
1.485440190E-1,-1.080396175E-1,-5.944442749E-2,2.040438652E-1,2.384116143E-1
1.534861030E-1,-6.408858299E-2,-6.423616409E-2,1.985554695E-1,2.183069072E-1
1.584289670E-1,-4.387724400E-2,-1.519184113E-1,1.976046562E-1,2.530849983E-1
1.633726650E-1,-3.965270519E-2,-1.368565559E-1,1.801695824E-1,2.297022689E-1
1.683155300E-1,-2.319037914E-2,-1.845169067E-1,2.139625549E-1,2.834859035E-1
1.732576130E-1,-7.879161835E-2,-2.211313248E-1,2.441844940E-1,3.387229680E-1
1.782005300E-1,-1.798624992E-1,-1.158130646E0,-2.596025467E-1,1.200421007E0
1.831441760E-1,9.100472927E-2,-9.645094872E-1,-7.605381012E-1,1.231656858E0
1.880870920E-1,4.040050507E-2,-2.581534386E-1,1.404261589E-1,2.966393513E-1
1.930291760E-1,-2.061046362E-1,3.750844002E-1,2.052073479E-1,4.746340527E-1
1.979720400E-1,-5.081109405E-1,5.642275810E-1,3.821740150E-1,8.500508625E-1
2.029157380E-1,-4.697067142E-1,4.366407394E-1,3.914771080E-1,7.513546824E-1
2.078586030E-1,-2.176051736E-1,1.166458130E-1,2.464523315E-1,3.488509839E-1
2.128006860E-1,-7.422280312E-2,-9.438896179E-2,6.711721420E-2,1.375609721E-1
2.177435510E-1,1.433840990E-1,-1.241292953E-1,-2.225255966E-2,1.909509315E-1
2.226872480E-1,1.793222427E-1,-1.637763977E-1,-3.568410873E-2,2.454639094E-1
2.276301130E-1,2.107834816E-1,-1.101622581E-1,-5.256652832E-3,2.378928995E-1
2.325721960E-1,1.344726086E-1,-1.643910408E-1,-6.057882309E-2,2.208553612E-1
2.375150610E-1,9.994304180E-2,-1.508855820E-1,1.165661812E-1,2.152736515E-1
2.424587590E-1,3.170073032E-2,-5.509614944E-2,2.592706680E-1,2.669490612E-1
2.474016760E-1,-1.213482022E-1,-1.276097298E-1,3.898119926E-1,4.277417666E-1
2.523437070E-1,-2.053935528E-1,-2.435903549E-1,4.761118889E-1,5.728920520E-1
2.572866230E-1,-2.242555618E-1,-2.243103981E-1,6.720004082E-1,7.430950547E-1
2.622302690E-1,-2.398059964E-1,-1.385822296E-1,8.090920448E-1,8.551852941E-1
2.671731860E-1,-2.848098874E-1,-2.156853676E-1,8.159112930E-1,8.907008970E-1
2.721152690E-1,-2.478851080E-1,-2.414026260E-1,7.795476913E-1,8.528873652E-1
2.770581340E-1,-2.127060890E-1,-2.896375656E-1,6.655273438E-1,7.563467756E-1
2.820018320E-1,-2.199175954E-1,-3.243646622E-1,5.196189880E-1,6.508302970E-1
2.869446960E-1,-9.905868769E-2,-1.343646049E-1,5.093679428E-1,5.360244135E-1
2.918867800E-1,-2.607685328E-2,-5.849838257E-3,4.677500725E-1,4.685129168E-1
2.968296440E-1,-7.369858027E-2,-1.539421082E-2,3.623886108E-1,3.701269616E-1
3.017733420E-1,6.483852863E-3,6.601333618E-3,2.507381439E-1,2.509088176E-1
3.067162070E-1,5.882853270E-2,2.680158615E-2,2.034115791E-1,2.134370910E-1
3.116582900E-1,-6.095230579E-3,6.190538406E-2,1.085343361E-1,1.250964849E-1
3.166012070E-1,-5.188107491E-3,5.523538589E-2,3.742790222E-2,6.692318118E-2
3.215448530E-1,-3.398078680E-2,4.307985306E-2,-3.408145905E-2,6.459189935E-2
3.264877690E-1,-1.319083571E-1,-7.471084595E-3,-7.306480408E-2,1.509771419E-1
3.314298530E-1,-1.658827364E-1,4.341316223E-2,-5.893754959E-2,1.813158009E-1
3.363727170E-1,-2.402362227E-1,1.424241066E-1,-6.724834442E-3,2.793622957E-1
3.413164150E-1,-4.012964666E-1,1.805148125E-1,3.338432312E-2,4.412923800E-1
3.462592800E-1,-4.539487958E-1,6.423616409E-2,2.546310425E-3,4.584782194E-1
3.512013630E-1,-4.699443877E-1,1.269340515E-3,-5.123090744E-2,4.727303085E-1
3.561442280E-1,-4.849760532E-1,-4.204177856E-2,-8.056068420E-2,4.934159576E-1
3.610879260E-1,-5.437788963E-1,-2.570247650E-2,-1.189513206E-1,5.572302236E-1
3.660307900E-1,-5.560684800E-1,2.250671387E-4,-1.358089447E-1,5.724126786E-1
3.709728730E-1,-5.461707711E-1,4.275608063E-2,-1.456222534E-1,5.668654464E-1
3.759157380E-1,-4.933116436E-1,1.656055450E-2,-1.767539978E-1,5.242829440E-1
3.808594360E-1,-4.620431364E-1,-1.831531525E-2,-1.888146400E-1,4.994699980E-1
3.858023530E-1,-4.757086635E-1,9.158611298E-3,-1.797122955E-1,5.086050745E-1
3.907443840E-1,-4.018553495E-1,-1.297616959E-2,-1.827187538E-1,4.416358748E-1
