"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.409460000E-4,-2.533793449E-3,-2.100944519E-3,1.468658447E-3,3.604307805E-3
5.347925000E-3,-5.066275597E-3,-4.201889038E-3,2.939224243E-3,7.208471340E-3
1.015490400E-2,-7.597327232E-3,-6.303310394E-3,4.411697388E-3,1.081268592E-2
1.534495600E-2,2.461979389E-1,6.793785095E-2,7.310962677E-2,2.656576636E-1
2.053500800E-2,2.006078959E-1,5.280160904E-2,6.363582611E-2,2.169816954E-1
2.572506000E-2,1.775213480E-1,2.325057983E-3,5.737495422E-2,1.865773841E-1
3.091511200E-2,1.505417824E-1,-2.007961273E-3,5.312252045E-2,1.596523170E-1
3.610516500E-2,1.097950935E-1,-1.016044617E-2,9.915542603E-2,1.482902416E-1
4.129521700E-2,8.095335960E-2,-2.553939819E-3,9.443950653E-2,1.244137831E-1
4.648526900E-2,7.513546944E-2,-3.920316696E-2,1.063547134E-1,1.359910002E-1
5.167532100E-2,3.092002869E-2,-5.338239670E-2,9.183883667E-2,1.106349871E-1
5.686537300E-2,-1.852190495E-2,-5.800962448E-2,7.024860382E-2,9.296797209E-2
6.205542500E-2,-4.898285866E-2,-7.154655457E-2,8.841514587E-2,1.238364564E-1
6.724547700E-2,-1.022469997E-1,-6.667518616E-2,1.415777206E-1,1.869338931E-1
7.243552900E-2,-1.593778133E-1,-1.499419212E-1,7.757949829E-2,2.321690024E-1
7.762558100E-2,-1.551917791E-1,-1.252470016E-1,9.650707245E-2,2.215511561E-1
8.281563300E-2,-2.019772530E-1,-7.315444946E-2,3.064918518E-2,2.169925269E-1
8.800568500E-2,-1.927479506E-1,-7.853984833E-2,5.689716339E-2,2.157720265E-1
9.319573700E-2,-2.278625965E-1,-8.839178085E-2,-2.489471436E-2,2.456709519E-1
9.838579000E-2,-2.276667356E-1,-4.980230331E-2,-5.285263062E-2,2.389682249E-1
1.035758420E-1,-2.554112077E-1,-6.076192856E-2,-2.954673767E-2,2.641967197E-1
1.087658940E-1,-2.091920376E-1,-7.079362869E-2,-4.425811768E-2,2.252372692E-1
1.139559460E-1,-1.353340149E-1,-4.309654236E-3,-4.266929626E-2,1.419666776E-1
1.191459980E-1,-9.884536266E-2,-2.969074249E-2,-8.745765686E-2,1.352804038E-1
1.243360500E-1,-8.191072941E-2,3.886699677E-3,-5.270481110E-2,9.747959345E-2
1.293293830E-1,-3.085350990E-2,-1.438045502E-2,-6.552219391E-2,7.383694505E-2
1.342715190E-1,-2.746844292E-2,5.074501038E-3,-4.346942902E-2,5.167066069E-2
1.392144350E-1,1.095247269E-2,-8.125305176E-3,-7.797241211E-2,7.915601236E-2
1.441581330E-1,6.474578381E-2,1.631641388E-2,-6.296920776E-2,9.177888106E-2
1.491010500E-1,4.554760456E-2,1.002359390E-2,-7.878494263E-2,9.155393984E-2
1.540431850E-1,2.275466919E-2,1.095438004E-2,-9.890460968E-2,1.020778880E-1
1.589861020E-1,1.123156548E-1,-1.125335693E-2,-7.447242737E-2,1.352316042E-1
1.639298000E-1,7.849979401E-2,-3.760576248E-2,-8.095073700E-2,1.188672909E-1
1.688727170E-1,2.925074100E-2,-6.106185913E-2,-8.254718781E-2,1.067623281E-1
1.738148000E-1,-2.110183239E-2,-4.447603226E-2,2.998733521E-2,5.764238933E-2
1.787577170E-1,-6.789875031E-2,-6.104564667E-2,3.008079529E-2,9.613358162E-2
1.837014670E-1,-8.809399605E-2,-7.045984268E-2,1.142778397E-1,1.605757336E-1
1.886443830E-1,-1.058238745E-1,-7.061862946E-2,1.499385834E-1,1.966399299E-1
1.935864670E-1,-1.001403332E-1,-5.005884171E-2,1.569776535E-1,1.928106783E-1
1.985293830E-1,-9.717226028E-2,-4.657316208E-2,1.827630997E-1,2.121646959E-1
2.034731330E-1,-8.951270580E-2,6.399726868E-2,1.824903488E-1,2.130983395E-1
2.084159980E-1,-4.417598248E-2,7.589292526E-2,1.637010574E-1,1.857667617E-1
2.133581330E-1,1.018130779E-2,1.201415062E-1,1.758508682E-1,2.132162480E-1
2.183010500E-1,4.314017296E-2,2.452521324E-1,1.760892868E-1,3.049870815E-1
2.232447480E-1,3.895711899E-2,3.231530190E-1,1.505823135E-1,3.586370922E-1
2.281876650E-1,3.817665577E-2,3.878641129E-1,1.255636215E-1,4.094658107E-1
2.331298000E-1,3.369498253E-2,4.562211037E-1,7.047080994E-2,4.628597869E-1
2.380727170E-1,2.319192886E-2,5.305485725E-1,4.450893402E-2,5.329171592E-1
2.430164150E-1,3.024244308E-2,5.076980591E-1,-1.400756836E-2,5.087908574E-1
2.479593310E-1,6.848621368E-2,5.374684334E-1,8.168220520E-3,5.418758143E-1
2.529014150E-1,5.754387379E-2,5.459790230E-1,-3.133392334E-2,5.498965409E-1
2.578443310E-1,1.274800897E-1,5.406794548E-1,-1.392555237E-2,5.556791944E-1
2.627880810E-1,1.005415916E-1,5.569052696E-1,-8.624362946E-2,5.724421845E-1
2.677309980E-1,1.006383896E-1,5.308260918E-1,-4.455566406E-2,5.421158846E-1
2.726730810E-1,1.059017181E-1,5.124459267E-1,-7.419204712E-2,5.285077686E-1
2.776159980E-1,1.157950759E-1,4.757514000E-1,-1.009578705E-1,4.999403823E-1
2.825596960E-1,1.252116561E-1,4.916591644E-1,-1.531410217E-1,5.299611923E-1
2.875026120E-1,1.714907885E-1,4.487977028E-1,-2.139024734E-1,5.259113392E-1
2.924447480E-1,2.539720535E-1,4.846830368E-1,-2.054538727E-1,5.844918682E-1
2.973876650E-1,3.462624550E-1,4.450559616E-1,-2.867507935E-1,6.326124519E-1
3.023313620E-1,3.988885283E-1,3.573489189E-1,-3.270254135E-1,6.274997442E-1
3.072742790E-1,4.265624881E-1,3.897409439E-1,-3.977174759E-1,7.014504617E-1
3.122163620E-1,3.872416019E-1,3.217840195E-1,-4.774837494E-1,6.938960617E-1
3.171592790E-1,4.044160843E-1,2.919421196E-1,-4.908947945E-1,6.998287431E-1
3.221030290E-1,3.947839737E-1,2.407717705E-1,-3.211250305E-1,5.629802097E-1
3.270459460E-1,3.400619626E-1,1.305437088E-1,-1.735048294E-1,4.034696075E-1
3.319880290E-1,2.460212708E-1,6.515502930E-3,1.149845123E-2,2.463759968E-1
3.369309460E-1,1.581330895E-1,-1.220808029E-1,1.675443649E-1,2.607314915E-1
3.418746440E-1,7.646304369E-2,-2.108702660E-1,3.567056656E-1,4.213689571E-1
3.468175600E-1,-2.498412132E-2,-2.889418602E-1,4.630203247E-1,5.463510099E-1
3.517596960E-1,-8.926802874E-2,-3.428194523E-1,5.776538849E-1,6.776267177E-1
3.567026120E-1,-1.358073950E-1,-4.320647717E-1,6.274204254E-1,7.738087656E-1
3.616463100E-1,-2.074943185E-1,-4.854598045E-1,6.628608704E-1,8.474135044E-1
3.665892270E-1,-2.096828818E-1,-5.743637085E-1,6.605644226E-1,9.001144022E-1
3.715313620E-1,-2.188602686E-1,-6.061980724E-1,6.233797073E-1,8.966483032E-1
3.764742270E-1,-2.418392003E-1,-6.595463753E-1,5.729179382E-1,9.064891526E-1
3.814179770E-1,-2.242149413E-1,-6.606872082E-1,4.832448959E-1,8.487081691E-1
3.863608940E-1,-1.997186244E-1,-6.833727360E-1,3.878345490E-1,8.107413043E-1
3.913029770E-1,-2.324924171E-1,-7.153303623E-1,3.079338074E-1,8.127567170E-1
3.962458940E-1,-1.114978194E-1,-7.420742512E-1,2.574243546E-1,7.933304837E-1
4.011896440E-1,-1.178187728E-1,-7.139306068E-1,2.690143585E-1,7.719759709E-1
4.061325080E-1,-1.268648505E-1,-7.380082607E-1,1.953172684E-1,7.738861147E-1
4.110746440E-1,-1.670789123E-1,-7.260708809E-1,1.366462708E-1,7.574737555E-1
4.160175600E-1,-1.813520193E-1,-7.733805180E-1,2.230291367E-1,8.250745277E-1
4.209612580E-1,-2.079262137E-1,-7.942135334E-1,2.896022797E-1,8.705618458E-1
4.259041750E-1,-2.702350914E-1,-8.483564854E-1,3.485803604E-1,9.561610736E-1
4.308463100E-1,-2.708449662E-1,-8.267138004E-1,3.811931610E-1,9.498004683E-1
4.357891750E-1,-2.909274399E-1,-8.178088665E-1,4.280214310E-1,9.678080713E-1
4.407329250E-1,-3.731314242E-1,-8.428885937E-1,4.203119278E-1,1.013089511E0
4.456758420E-1,-4.434363246E-1,-8.567442894E-1,4.415931702E-1,1.060967049E0
4.506179250E-1,-4.594246447E-1,-8.499615192E-1,4.394273758E-1,1.061415096E0
4.555608420E-1,-4.359119833E-1,-8.299136162E-1,3.667097092E-1,1.006604132E0
4.605045920E-1,-4.346842468E-1,-7.988481522E-1,2.690467834E-1,9.484170687E-1
4.654474560E-1,-4.292885065E-1,-7.828841209E-1,2.721939087E-1,9.334268544E-1
4.703895920E-1,-4.003216624E-1,-7.438592911E-1,3.086919785E-1,8.993746805E-1
4.753325080E-1,-3.953741789E-1,-6.534590721E-1,2.288751602E-1,7.973163357E-1
4.802762060E-1,-4.615888298E-1,-6.636908054E-1,1.594429016E-1,8.239974344E-1
4.852191230E-1,-3.374477029E-1,-5.909619331E-1,1.025924683E-1,6.882093963E-1
4.901612580E-1,-3.305235803E-1,-5.472228527E-1,2.489089966E-2,6.397798407E-1
4.951041750E-1,-3.232016265E-1,-5.106418133E-1,4.968643188E-2,6.063687775E-1
5.000478730E-1,-3.274330199E-1,-5.026278496E-1,4.092788696E-2,6.012671865E-1
5.049907900E-1,-2.790484130E-1,-5.511486530E-1,1.544666290E-2,6.179574856E-1
5.099328730E-1,-2.520779669E-1,-4.733090401E-1,8.493518829E-2,5.429352954E-1
5.148757900E-1,-2.084821463E-1,-5.169665813E-1,1.702795029E-1,5.828502043E-1
5.198194870E-1,-1.911711991E-1,-4.654874802E-1,2.145662308E-1,5.470499876E-1
5.247624040E-1,-1.595245302E-1,-5.214028358E-1,2.751255035E-1,6.107397446E-1
5.297045400E-1,-1.943672299E-1,-5.439410210E-1,2.736158371E-1,6.391526271E-1
5.346474560E-1,-1.505196691E-1,-5.122168064E-1,2.581119537E-1,5.929957911E-1
5.395911540E-1,-1.449205875E-1,-4.527683258E-1,2.168607712E-1,5.225224661E-1
5.445340710E-1,-1.301891208E-1,-4.724919796E-1,2.069950104E-1,5.320195600E-1
5.494761540E-1,-1.609240472E-1,-4.401836395E-1,1.143417358E-1,4.824232768E-1
5.544190710E-1,-1.799562871E-1,-3.941559792E-1,1.246652603E-1,4.508709664E-1
5.593628210E-1,-1.850709617E-1,-3.723857403E-1,2.106952667E-2,4.163728202E-1
5.643057370E-1,-1.715918183E-1,-4.126334190E-1,1.574897766E-2,4.471667708E-1
5.692478210E-1,-1.302576065E-1,-3.528676033E-1,2.236938477E-2,3.768062883E-1
5.741907370E-1,-1.751160324E-1,-3.267986774E-1,3.367805481E-2,3.722864646E-1
5.791344350E-1,-1.295149028E-1,-3.316562176E-1,1.018095016E-1,3.703176087E-1
5.840773520E-1,-4.140084982E-2,-3.174381256E-1,1.479864120E-1,3.526768664E-1
5.890194870E-1,-3.427252173E-2,-3.128952980E-1,1.391916275E-1,3.441691189E-1
5.939624040E-1,-1.229268312E-2,-3.227975368E-1,2.112455368E-1,3.859715490E-1
5.989061020E-1,3.644290566E-2,-3.209648132E-1,2.067995071E-1,3.835525164E-1
6.038490190E-1,1.046199501E-1,-3.215317726E-1,2.071294785E-1,3.965231842E-1
6.087911020E-1,1.517942846E-1,-3.363540173E-1,2.074470520E-1,4.233317956E-1
6.137340190E-1,1.472902596E-1,-3.248915672E-1,1.554813385E-1,3.891315943E-1
6.186777690E-1,1.318950951E-1,-3.087263107E-1,1.181468964E-1,3.559029926E-1
6.236206850E-1,7.228815556E-2,-3.352899551E-1,8.816337585E-2,3.541436323E-1
6.285627690E-1,2.310055494E-2,-2.616724968E-1,9.871959686E-2,2.806273152E-1
6.335056850E-1,-1.844596863E-2,-2.811639309E-1,5.215644836E-2,2.865548899E-1
6.384493830E-1,-3.601992130E-2,-2.218933105E-1,6.290626526E-2,2.334336613E-1
6.433923000E-1,-1.107351482E-1,-2.130165100E-1,-7.157325745E-3,2.401864565E-1
6.483344350E-1,-1.164222583E-1,-2.208867073E-1,3.740310669E-2,2.524758842E-1
6.532773000E-1,-1.632595658E-1,-2.217745781E-1,-2.042961121E-2,2.761431121E-1
6.582210500E-1,-2.178179622E-1,-2.393908501E-1,-3.498268127E-2,3.255402152E-1
6.631639670E-1,-2.139596343E-1,-1.834740639E-1,-6.354427338E-2,2.889279009E-1
6.681060500E-1,-1.736749560E-1,-2.209172249E-1,-6.086063385E-2,2.875263941E-1
6.730489670E-1,-1.924289167E-1,-1.965639591E-1,-7.231426239E-2,2.844215719E-1
6.779926650E-1,-9.842827171E-2,-2.441222668E-1,-6.923007965E-2,2.721701852E-1
6.829355810E-1,-3.005883098E-2,-2.036747932E-1,-3.514194489E-2,2.088585909E-1
6.878777170E-1,5.623245239E-2,-2.138750553E-1,1.789760590E-2,2.218669698E-1
6.928206330E-1,5.396717787E-2,-1.650164127E-1,4.933261871E-2,1.804898336E-1
6.977643310E-1,4.756250978E-2,-2.143547535E-1,1.649475098E-2,2.201868059E-1
